CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,ADDRESS,COMMUNITY,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,POTHOLES_REPAIRED,STREET_NO,STREET_DIRECTION,STREET_NAME,DEPARTMENT,USERGRPTITLE,GROUPID,GROUPDESC
SR17101395,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? December 4 2017  2) What was the time of day when the incident occurred? 3:00 pm  3) What was the type of incident? Close call  4) Which street were you crossing? Observatory  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. I (along with my 4 year old daughter) waited at the crosswalk at Observatory and Michigan (where a sign has recently been placed in the middle of the street) and watched as 15-20 cars sped by (at a much higher rate of speed than is allowed by law).  Once I finally flagged down a car to stop and was attempting to cross the street 2 cars traveling in my direction barely stopped in time for me to finish crossing the street.  12) Please provide any additional information that may help us serve you. Something has to be done.  I drive this road every day and NO ONE EVER stops for pedestrians.  It terrifies me that there are 2 schools closeby (1 preschool and 1 grade school) and children may be attempting to nagivate this crosswalk by themselves.  Had I not flagged down a driver (waving my arms) to get them to stop no one ever would have.  There needs to be a light. ,05/12/2017 00:00:00,14:32:00,3400 MICHIGAN AV CINC - GJ2112835170,3400 MICHIGAN AV,HYDE PARK,50,STANDARD,INTERNET,4100020053,05/12/2017 00:00:00,CCSRWEB,06/12/2017 00:00:00,,05/12/2017 00:00:00,05/12/2017 00:00:00,,1417850,420273,0,3400,  ,MICHIGAN AV                     ,DOTE,,2842,DOTE-DEFAULT
SR17099540,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Nightly  2) What was the time of day when the incident occurred? Evening rush hour (5:30pm)  3) What was the type of incident? Close call  4) Which street were you crossing? Beechmont Avenue  5) What direction were you headed? West  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Almost every evening as I am driving home from work there are pedestrians standing in the turn lane trying to cross Beechmont Avenue near Roxbury St/Plaza Avenue  12) Please provide any additional information that may help us serve you. Almost every evening as I am driving home from work there are pedestrians standing in the turn lane trying to cross Beechmont Avenue near Roxbury St/Plaza Avenue.  Since it is getting darker earlier now there have been MANY near-collisions.  Please install a crosswalk at this location. ,28/11/2017 00:00:00,16:26:00,BEECHMONT AV & ROXBURY ST,2308 BEECHMONT AV,MOUNT WASHINGTON,"46,01",STANDARD,INTERNET,100050062,28/11/2017 00:00:00,CCSRWEB,29/11/2017 00:00:00,,28/11/2017 00:00:00,28/11/2017 00:00:00,,1432947,404843,0,2308,  ,BEECHMONT AV                    ,DOTE,,2842,DOTE-DEFAULT
SR17094210,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 11/04/2017  2) What was the time of day when the incident occurred? Morning before 8:00 AM.  3) What was the type of incident? Close call  4) Which street were you crossing? Camberwell Road  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Any time you try to cross the street to get to your vehicle (only street parking available for most residents) you are in danger of cars and heavy pickup trucks that are driving incredibly fast up and down Camberwell Road.  These vehicles do not intend to slow down and will come close to hitting you unless you are very aware of their presence.  There is no crosswalk on the street in order for pedestrians to safely cross and for traffic to slow down.  12) Please provide any additional information that may help us serve you. The entirety of Camberwell Road needs to have speed umps in place so to help the speed at which drivers fly down the road.  This especially pertains to heavy pickup trucks (connected to a local landscaping business that operates from their Camberwell location) as they do not obey any speed limit and quickly zoom up and down the street usually towing heavy materials.  Please help rectify this issue on our street as there are numerous families with small children and the street poses an imenent danger to them. ,05/11/2017 00:00:00,09:01:00,4509 CAMBERWELL RD CINC - GJ2311437510,4509 CAMBERWELL RD,OAKLEY,54,STANDARD,INTERNET,5100020112,05/11/2017 00:00:00,CCSRWEB,06/11/2017 00:00:00,,05/11/2017 00:00:00,05/11/2017 00:00:00,,1424736,427615,0,4509,  ,CAMBERWELL RD                   ,DOTE,,2842,DOTE-DEFAULT
SR17093592,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 11/2  2) What was the time of day when the incident occurred? 7:45  3) What was the type of incident? Close call  4) Which street were you crossing? Observatory  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? East  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. I was crossing observatory with another adult and my young child in a stroller. We had already made it through the westbound lane of traffic and 2 cars simply flew by us as they had a clear line of vision to us. This is a regular occurrence and this crosswalk should be equipped with a sign in the middle of the road just as the crosswalk at observatory and Michigan now has.   12) Additional Comments? I was crossing observatory with another adult and my young child in a stroller. We had already made it through the westbound lane of traffic and 2 cars simply flew by us as they had a clear line of vision to us. This is a regular occurrence and this crosswalk should be equipped with a sign in the middle of the road just as the crosswalk at observatory and Michigan now has.  ,02/11/2017 00:00:00,07:49:00,2841 OBSERVATORY AV CINC - GJ2149535101,2841 OBSERVATORY AV,HYDE PARK,49,STANDARD,INTERNET,4600030050,02/11/2017 00:00:00,MOBILE,03/11/2017 00:00:00,,02/11/2017 00:00:00,02/11/2017 00:00:00,,1419045,419988,0,2841,  ,OBSERVATORY AV                  ,DOTE,,2842,DOTE-DEFAULT
SR17093287,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? October 31st 2017  2) What was the time of day when the incident occurred? Afternoon   3) What was the type of incident? Close call  4) Which street were you crossing? Liberty  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? East  9) What was the other party's intended movement? Turning right  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Car coming down Sycamore hill came a few feet from hitting before slamming on brakes. Cross walks need to be clearly marked. This has happened many times to my family and others crossing Liberty at Sycamore.   12) Additional Comments? Add clear cross walk signs in air in all directions.  ,31/10/2017 00:00:00,22:27:00,E LIBERTY ST & SYCAMORE ST,1602 SYCAMORE ST,MOUNT AUBURN,18,STANDARD,INTERNET,8600020227,31/10/2017 00:00:00,MOBILE,01/11/2017 00:00:00,,31/10/2017 00:00:00,31/10/2017 00:00:00,,1398039,411620,0,1602,  ,SYCAMORE ST                     ,DOTE,,2842,DOTE-DEFAULT
SR17084469,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 9/28/17  2) What was the time of day when the incident occurred? 9am  3) What was the type of incident? Close call  4) Which street were you crossing? Jefferson to pedestrian island  5) What direction were you headed? West  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Merging right  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. There used to be a crosswalk at this location but it no longer exists.  Please consider reinstating it due to the high volume of pedestrians walking to UC medical campus ,28/09/2017 00:00:00,09:04:00,NIXON ST & GOODMAN DR & VINE ST,3201 VINE ST,CORRYVILLE,30,STANDARD,INTERNET,10200010005,28/09/2017 00:00:00,MOBILE,29/09/2017 00:00:00,,28/09/2017 00:00:00,28/09/2017 00:00:00,,1398491,420825,0,3201,  ,VINE ST                         ,DOTE,,2842,DOTE-DEFAULT
SR17084383,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 9/27/2017  2) What was the time of day when the incident occurred? 4:30 PM  3) What was the type of incident? Close call  4) Which street were you crossing? Eastern Avenue  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. When trying to cross the street at the intersection of McCullough and Eastern Avenue I was almost hit by a car that was definitely going to way too fast around the bend.  12) Please provide any additional information that may help us serve you. There needs to be a crosswalk across Eastern Avenue and McCullough streets. This is extremely dangerous considering the new brewery has brought a lot more street traffic to the area. There are crosswalks just down the road on Stites and Eastern yet none at McCullough. For those of us living on Feemster Street and those that will soon be living here with the new development a crosswalk is crucial for our safety. Thank you. ,27/09/2017 00:00:00,16:48:00,3918 FEEMSTER ST CINC - GJ2193732179,3918 FEEMSTER ST,COLUMBIA TUSCULUM,44,STANDARD,INTERNET,2700060006,27/09/2017 00:00:00,CCSRWEB,28/09/2017 00:00:00,,27/09/2017 00:00:00,27/09/2017 00:00:00,,1420015,410342,0,3918,  ,FEEMSTER ST                     ,DOTE,,2842,DOTE-DEFAULT
SR17082348,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Nightly  2) What was the time of day when the incident occurred? Afternoon/evening rush hour  3) What was the type of incident? Close call  4) Which street were you crossing? Beechmont Avenue  5) Were you in a crosswalk when the incident occurred? Yes  6) What type of other vehicle was involved? Car or pickup truck  7) In what direction was the other party headed? South  8) What was the other party's intended movement? Straight  9) Did you report the incident to the Cincinnati Police? No  10) Describe the incident as specifically as possible. Pedestrians try to cross at Roxbury/Plaza Avenues NIGHTLY.  They often end up in the center turn lane for refuge  11) Please provide any additional information that may help us serve you. Pedestrians try to cross at Roxbury/Plaza Avenues NIGHTLY.  They often end up in the center turn lane for refuge.  There is no crosswalk and the next closest signalized crosswalk is at Corbly Street (uphill several blocks) or at Redfield/Ranchvale- a MILE away.  PLEASE INSTALL A CROSSWALK HERE! ,20/09/2017 00:00:00,13:59:00,BEECHMONT AV & ROXBURY ST,2308 BEECHMONT AV,MOUNT WASHINGTON,"46,01",STANDARD,INTERNET,100050062,20/09/2017 00:00:00,CCSRWEB,21/09/2017 00:00:00,,20/09/2017 00:00:00,20/09/2017 00:00:00,,1432947,404843,0,2308,  ,BEECHMONT AV                    ,DOTE,,2842,DOTE-DEFAULT
SR17082337,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? daily  2) What was the time of day when the incident occurred? 12:45-1:45pm  3) What was the type of incident? Close call  4) Which street were you crossing? multiple parking violations in a clearly marked no parking zone  5) Were you in a crosswalk when the incident occurred? No  6) Did you report the incident to the Cincinnati Police? Yes  7) Describe the incident as specifically as possible. multiple cars park in the clearly marked no parking zone  8) Additional Comments? It seems up to one hour prior to a shift change at Loa that multiple cars park in the no parking zone on draper making it dangerous for trucks customers and employees to safely get through ,20/09/2017 00:00:00,13:39:00,1231 DRAPER ST CINC - GJ1291433708,1231 DRAPER ST,CAMP WASHINGTON,28,STANDARD,INTERNET,18700100103,20/09/2017 00:00:00,MOBILE,21/09/2017 00:00:00,,20/09/2017 00:00:00,20/09/2017 00:00:00,,1390703,416822,0,1231,  ,DRAPER ST                       ,DOTE,,2842,DOTE-DEFAULT
SR17081829,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Sept. 19 2017  2) What was the time of day when the incident occurred? 6:00 am  3) What was the type of incident? Close call  4) Which street were you crossing? Walking down Delta past Lawler  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Straight  10) Describe the incident as specifically as possible. Because of a large bush on the corner and no stop sign the car came out pretty far to view Delta ave to merge in to traffic and they did not see me and I could not see them. Luckily I got a glimpse of them and stopped.  11) Please provide any additional information that may help us serve you. The traffic  coming down Lawler to go either right or left on to Delta Ave cannot see anyone one on the sidewalk due to the large bush at the end of Lawler.  And it is very hard to see a car coming down that street.   The traffic coming down Lawler does not have a stop sign or a sign that says to watch for pedestrians. It is a very bad spot for us. ,19/09/2017 00:00:00,12:06:00,DELTA AV & LAWLER ST,544 DELTA AV,COLUMBIA TUSCULUM,49,STANDARD,INTERNET,2600010001,19/09/2017 00:00:00,CCSRWEB,20/09/2017 00:00:00,,19/09/2017 00:00:00,19/09/2017 00:00:00,,1419016,414032,0,544,  ,DELTA AV                        ,DOTE,,2842,DOTE-DEFAULT
SR17076258,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? August 30 2017  2) What was the time of day when the incident occurred? 1510  3) What was the type of incident? Close call  4) Which street were you crossing? Ludlow  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Car failed to stop for the red light coming down the hill towards Northside. Driver went through a red light 25+ mph. Was yelling at those who were crossing to get out of the f###ing way. ,30/08/2017 00:00:00,14:16:00,LUDLOW AV & LAFAYETTE AV,877 LUDLOW AV,CLIFTON,72,STANDARD,INTERNET,21500690073,30/08/2017 00:00:00,MOBILE,31/08/2017 00:00:00,,30/08/2017 00:00:00,30/08/2017 00:00:00,,1391678,425450,0,877,  ,LUDLOW AV                       ,DOTE,,2842,DOTE-DEFAULT
SR17075471,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? daily  2) What was the time of day when the incident occurred? during morning drop off and evening pick up  3) What was the type of incident? Close call  4) Which street were you crossing? This affects the entire Montgomery Rd corridor approaching Pleasant Ridge Montessori & Lester Avenue  5) Describe the incident as specifically as possible. Description below copies from the Pleasant Ridge Traffic committee's Facebook page Pleasant Streets.  6) Please provide any additional information that may help us serve you. I am publicly sharing my massive concern for the area surrounding PRM that someone is going to be hit in their car or on foot. We have a perfect storm now: parked busses narrowing the 2-lanes of Montgomery Rd down to one right after a light cars dropping kids off in the street frustrated drivers speeding through the school zone in anger drivers running red lights and cars exiting from the back of the school with a major blind spot to oncoming cars and crossing pedestrians.We desperately need flashing lights coming into the school zone on all ends a crossing guard with a stop sign at the exit of drop off onto Montgomery (ideally police assistance) and tickets being given to those who speed through and drop kids at the curb.Does it really take someone being injured or killed to get movement on this? Similar situation where my mom lives in Columbus and a mother was t-boned and killed. Only then did they put in a light and address the issue.Our area will only become more congested and it feels like its getting worse every day. ,29/08/2017 00:00:00,09:59:00,6010 MONTGOMERY RD CINC - GJ2191339980,6010 MONTGOMERY RD,PLEASANT RIDGE,"57,01",STANDARD,INTERNET,12200040059,29/08/2017 00:00:00,CCSRWEB,30/08/2017 00:00:00,,29/08/2017 00:00:00,29/08/2017 00:00:00,,1421062,436049,0,6010,  ,MONTGOMERY RD                   ,DOTE,,2842,DOTE-DEFAULT
SR17073277,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) Please provide any additional information that may help us serve you. This cover is starting to come up on McMicken and Brighton Bridge. ,22/08/2017 00:00:00,10:30:00,W MCMICKEN AV & BRIGHTON BRIDGE APPROACH,670 W MCMICKEN AV,CUF,27,STANDARD,INTERNET,9700010075,22/08/2017 00:00:00,CCSRWEB,23/08/2017 00:00:00,,22/08/2017 00:00:00,22/08/2017 00:00:00,,1391934,415865,0,670,W ,MCMICKEN AV                     ,DOTE,,2842,DOTE-DEFAULT
SR17071693,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 8/17  2) What was the time of day when the incident occurred? 7:45am  3) What was the type of incident? Close call  4) Which street were you crossing? Observatory  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? East  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Back to school and already crosswalk issues are occurring. I was pushing my daughter in a jogging stroller. We stood 1/3 the way in the crosswalk and at least a half dozen cars passed without stopping. There were no vehicles blocking the view it seems that everyone was just in a hurry to get somewhere. I'm trying to get a watch for pedestrian sign to place near the crosswalk. Hope to have that today.  ,17/08/2017 00:00:00,07:54:00,2838 OBSERVATORY AV CINC - GJ2149835153,2838 OBSERVATORY AV,HYDE PARK,50,STANDARD,INTERNET,4000060041,17/08/2017 00:00:00,MOBILE,18/08/2017 00:00:00,,17/08/2017 00:00:00,17/08/2017 00:00:00,,1419060,420156,0,2838,  ,OBSERVATORY AV                  ,DOTE,,2842,DOTE-DEFAULT
SR17070106,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 8/12/17  2) What was the time of day when the incident occurred? 11:20  3) What was the type of incident? Close call  4) Which street were you crossing? Markbreit  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? East  9) What was the other party's intended movement? Turning left  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. we were crossing in the crosswalk from Madison towards Isabella. I could see cars crossing Madison at the light heading SE towards Isabella. I could see one car put its left turn signal on as we were in the cross walk but there were 2 cars between us and that car did not see us. I was holding 2 of my childrens' hands and my 6 year old was in front of me. I was able to pull her back so she did not walk in front of the incoming vehicle. The car also stopped as soon as the driver saw us. It was very frightening!   12) Additional Comments? Please prioritize the safety of pedestrians over the movement of traffic through Oakley square and the rest of the city! The ability to walk is why we chose to live here!  ,12/08/2017 00:00:00,11:37:00,ALLSTON ST & ISABELLA AV & MARKBREIT AV & DRAKEWOOD DR & MADISON RD,3924 ISABELLA AV,OAKLEY,53,STANDARD,INTERNET,3900040110,12/08/2017 00:00:00,MOBILE,13/08/2017 00:00:00,,12/08/2017 00:00:00,12/08/2017 00:00:00,,1420620,425206,0,3924,  ,ISABELLA AV                     ,DOTE,,2842,DOTE-DEFAULT
SR17068939,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 8/8/17  2) What was the time of day when the incident occurred? 8:50pm  3) What was the type of incident? Close call  4) Which street were you crossing? Werk  5) What direction were you headed? South  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? East  9) What was the other party's intended movement? Turning left  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Traffic was unable to see my children in the crosswalk because the crosswalk is in desperate need of repainting  12) Additional Comments? Please repaint our crosswalk on werk Road. Traffic is not respecting or identifying the crosswalks on werk road due to their fading ,08/08/2017 00:00:00,20:54:00,2972 WERK RD CINC - GJ0747535126,2972 WERK RD,WESTWOOD,"102,02",STANDARD,INTERNET,20800570096,08/08/2017 00:00:00,MOBILE,09/08/2017 00:00:00,,08/08/2017 00:00:00,08/08/2017 00:00:00,,1373115,422355,0,2972,  ,WERK RD                         ,DOTE,,2842,DOTE-DEFAULT
SR17068177,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Multiple  2) What was the time of day when the incident occurred? Multiple  3) What was the type of incident? Close call  4) Were you in a crosswalk when the incident occurred? Yes  5) What type of other vehicle was involved? Car or pickup truck  6) Did you report the incident to the Cincinnati Police? No  7) Describe the incident as specifically as possible. This is a chronic intersection where pedestrians cross in xwalk and cars don't stop for them - it is a scary spot with regular near-misses ,07/08/2017 00:00:00,11:11:00,2700 JEFFERSON AV CINC - GJ1515534218,2700 JEFFERSON AV,HEIGHTS,30,STANDARD,INTERNET,10200020250,07/08/2017 00:00:00,CCSRWEB,08/08/2017 00:00:00,,07/08/2017 00:00:00,07/08/2017 00:00:00,,1398010,418096,0,2700,  ,JEFFERSON AV                    ,DOTE,,2842,DOTE-DEFAULT
SR17067872,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? August 4 2017  2) What was the time of day when the incident occurred? 5 pm  3) Which street were you crossing? Woodford  4) Describe the incident as specifically as possible. 3 cars pushed the left hand turn after the left turn signal against the pedestrian walk light. Including a police SUV. Their lights and siren were not on  5) Please provide any additional information that may help us serve you. We were heading north on Ridge towards Montgomery. I was unable to put this information in the above fields. How is anyone expected to honor the lights if our police officers don't? ,04/08/2017 00:00:00,20:12:00,5803 RIDGE AV CINC - GJ2219239616,5803 RIDGE AV,PLEASANT RIDGE,"57,02",STANDARD,INTERNET,12300010034,04/08/2017 00:00:00,CCSRWEB,05/08/2017 00:00:00,,04/08/2017 00:00:00,04/08/2017 00:00:00,,1422062,434665,0,5803,  ,RIDGE AV                        ,DOTE,,2842,DOTE-DEFAULT
SR17067864,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? August 4 2017  2) What was the time of day when the incident occurred? 5:00  3) What was the type of incident? Close call  4) Which street were you crossing? 9th  5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? Yes  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? West  9) What was the other party's intended movement? Turning right  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Cars block intersection when trying to get through light and block visibility of crosswalk  12) Additional Comments? Very frequent aggressive driving at this intersection since 75 construction occurred. Have seen many almost-accidents horns blaring and cursing after work each day. ,04/08/2017 00:00:00,17:17:00,PLUM ST & W 9TH ST,235 W 9TH ST,WEST END,7,STANDARD,INTERNET,7700010026,04/08/2017 00:00:00,MOBILE,05/08/2017 00:00:00,,04/08/2017 00:00:00,04/08/2017 00:00:00,,1395693,408707,0,235,W ,9TH ST                          ,DOTE,,2842,DOTE-DEFAULT
SR17066711,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 8/1/17  2) What was the time of day when the incident occurred? 9:45pm  3) What was the type of incident? Close call  4) Which street were you crossing? Beechmont Avenue  5) What direction were you headed? East  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Last evening when driving home from a late dinner I watched two black men- crossing Beechmont Avenue near Roxbury Street- almost get hit.  There is no crosswalk at this site.  12) Please provide any additional information that may help us serve you. Last evening when driving home from a late dinner I watched two black men- crossing Beechmont Avenue near Roxbury Street- almost get hit.  There is no crosswalk at this site.  At that time of night it is very easy for people to blend in- especially at the crest of the hill.  This is a very dangerous area for pedestrians and needs a signalized crosswalk. ,02/08/2017 00:00:00,09:34:00,ROXBURY ST & BEECHMONT AV,2308 BEECHMONT AV,MOUNT WASHINGTON,"46,01",STANDARD,INTERNET,100050062,02/08/2017 00:00:00,CCSRWEB,03/08/2017 00:00:00,,02/08/2017 00:00:00,02/08/2017 00:00:00,,1432947,404843,0,2308,  ,BEECHMONT AV                    ,DOTE,,2842,DOTE-DEFAULT
SR17065107,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Incredibly persistent speeding and dangerous driving. Pet killed by speeder. Several 'close calls' when speeding drivers come up hill and almost hit cars backing out of drives or Shattuc. We need a stop sign please or at least 'slow pedestrian' signage and a cross walk.  2) What was the time of day when the incident occurred? Happens all day every day and speeders proceed to Ault park and drive too fast through the park too.  3) What was the type of incident? Close call  4) Which street were you crossing? Heekin   5) What direction were you headed? North  6) Were you in a crosswalk when the incident occurred? No  7) In what direction was the other party headed? North  8) Did you report the incident to the Cincinnati Police? No  9) Describe the incident as specifically as possible. A neighborhood pet was struck and killed at the intersection of Shattuc and Heekin and a speeding driver almost struck my dog and I crossing Heekin just past Shattuc yesterday. That said dangerous driving is observed each and every day on Heekin both north to Ault park and south bound coming from up the hill.   10) Additional Comments? We need a stop sign at the intersection of Shattuc and Heekin or at least 'Slow watch for pedestrians' signage.  ,28/07/2017 00:00:00,11:30:00,HEEKIN AV & SHATTUC AV,5001 SHATTUC AV,LINWOOD,48,STANDARD,INTERNET,2000010056,28/07/2017 00:00:00,MOBILE,29/07/2017 00:00:00,,28/07/2017 00:00:00,28/07/2017 00:00:00,,1425101,416607,0,5001,  ,SHATTUC AV                      ,DOTE,,2842,DOTE-DEFAULT
SR17063705,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? 7/25/17  2) What was the time of day when the incident occurred? 10:15pm  3) What was the type of incident? Close call  4) Which street were you crossing? Beechmont Avenue  5) What direction were you headed? West  6) Were you in a crosswalk when the incident occurred? No  7) What type of other vehicle was involved? Car or pickup truck  8) In what direction was the other party headed? South  9) What was the other party's intended movement? Straight  10) Did you report the incident to the Cincinnati Police? No  11) Describe the incident as specifically as possible. Cars do not see pedestrians crossing at Plaza Avenue  12) Please provide any additional information that may help us serve you. I was in car traveling outbound on Beechmont Avenue at Plaza Avenue.  Three pedestrians in dark clothes were crossing at Plaza Avenue/Roxbury Street.  The pedestrians were almost hit by three vehicles traveling outbound through the MW Business District.  There are no crosswalks (signalized or otherwise) in the MWNBD north of Corbly Street.  This is an almost nightly occurrence. ,26/07/2017 00:00:00,09:07:00,PLAZA AV & BEECHMONT AV,2245 BEECHMONT AV,MOUNT WASHINGTON,"46,01",STANDARD,INTERNET,100020031,26/07/2017 00:00:00,CCSRWEB,27/07/2017 00:00:00,,26/07/2017 00:00:00,26/07/2017 00:00:00,,1432936,404563,0,2245,  ,BEECHMONT AV                    ,DOTE,,2842,DOTE-DEFAULT
SR17061301,CLOSED  ,Pedestrian Incident Report,Request entered through the Web. Refer to Intake Questions for further description. 1) What was the date when the incident occurred? Ongoing  2) What was the type of incident? Collision minor injury  3) Which street were you crossing? Crossing Nassau  4) What direction were you headed? South  5) Were you in a crosswalk when the incident occurred? No  6) What type of other vehicle was involved? Car or pickup truck  7) In what direction was the other party headed? East  8) What was the other party's intended movement? Straight  9) Describe the incident as specifically as possible. NO crosswalks exist at this intersection but the entire neighborhood uses it to access Eden Park.  Several incidents have occurred in which pedestrians dogs and cyclists are threatened by motorists.  10) Please provide any additional information that may help us serve you. PLEASE please please install crosswalks at the intersection of Kemper Nassau and Luray.  This neighborhood crosses this intersection A LOT to access Eden Park but there are no protections for pedestrians. ,19/07/2017 00:00:00,09:50:00,999 NASSAU ST CINC - GJ1710933115,999 NASSAU ST,WALNUT HILLS,19,STANDARD,INTERNET,6900030094,19/07/2017 00:00:00,CCSRWEB,20/07/2017 00:00:00,,19/07/2017 00:00:00,19/07/2017 00:00:00,,1404370,414279,0,999,  ,NASSAU ST                       ,DOTE,,2842,DOTE-DEFAULT
