index,REQUESTID,STRSEGID,REQUESTTYP,Request_type,REQUESTDAT,Day,COMMENTS,USERTYPE,NEAR_INTER,NEAR_STR,SNA_NAME,0
897,346,2383297554623834955237,Speeding,Speeding,2/7/2018,Wed,"With revitalized district, more pedestrian traffic. Need to lower speed limit to 25, bollards, posted speed limit and electronic speed signs, bump outs, crosswalks",walks,RUEHLMAN PL & HARRISON AV,Harrison Av,Westwood,I agree I agree
899,347,4284130573742843865703,Speeding,Speeding,2/7/2018,Wed,A lot of speeders in this area. 7am I  have seen very high speeds while children are walking to nearby elementary schools. Children who ride the Metro bus to school have to cross this street as well. It's very scary trying to cross this street.,walks,KIMBERLY AV & WOODFORD RD,Woodford Rd,Pleasant Ridge,"I would propose consideration of a road diet here. 
Even to the point of narrowing to 1.5 lanes with a protected bike/ped path. This is a residential neighborhood not a speedway. Agreed, put in a stop sign or a speed hump"
901,348,2383297554623834955237,No Bike Facilities,No Bike Facilities,2/7/2018,Wed,"Need bike racks, lower car speed limit for bike safety, possibly red bike.",bikes,MONTANA AV & HARRISON AV,Harrison Av,Westwood,Agree
902,336,4077751020640781120167,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,"This has gotten a little better with the recent signage addition, but drivers don't often stop for people in the crosswalk across Observatory near Michigan.",walks,OBSERVATORY AV & MICHIGAN AV,Observatory Av,Hyde Park,"New sign implanted in the middle of the road had reflectors, they've quickly with off. One in two drivers will yield to pedestrians. Feels like frogger crossing here.

Can the city install fading lights in the road or in adjacent posts? Cars simply do not stop for pedestrians here. Also, most cars are speeding which makes it even more dangerous to use this crosswalk. 100% agree! I live within viewing distance of this crosswalk. Speed is a serious issue. This is a 30 mph, most drive between 40 and 50. This means there?ÇÖs no reaction time to see and stop for pedestrians. Equally dangerous to pulling into our driveway. Agree Cars drive way too fast here and don't stop.  The sign in the road doesn't help.  There needs to be more done. The new signage has helped. The city should consider making a pedestrian island with the 'yield to ped. in crosswalk' sign. Agree. Driver compliance with this crosswalk is dismal. The pedestal in-street sign has helped, and I thank whomever is responsible for its addition. My neighbor was actually hit by a driver here. Recent efforts have helped somewhat, but there is still room for improvement on the signage and signaling. Agree with all other comments, it is still a dangerous intersection.  Is Observatory a 2 or 4 lanes? At one point someone added some orange flags. They were kept on the telephone pole. But it looks like the city decided that they had to be removed. This allowed people to wave the flag while they were walking. After countless years and good recent Efforts by the city, we still have a dangerous intersection. Please install a system that would force people to stop. This intersection has been an issue for years.  We need a traffic signal here and the entire problem will go away Agree! I often try to cross at this street with my hand waving in the air for cars to yield, but usually cars ignore"
917,353,4281770624942822215895,Speeding,Speeding,2/7/2018,Wed,,walks,MONTGOMERY RD & WOODFORD RD,Woodford Rd,Pleasant Ridge,I agree
918,349,4253345551142534775184,Other,Other,2/7/2018,Wed,"This is less a pedestrian issue, but it drives me bonkers that people are allowed to park in what is technically a right turning lane onto Paxton from Ridge. When cars park in the right lane people traveling in the right lane get stuck.",drives,BACH AV & MARBURG AV,Marburg Av,Oakley,Agreed This was always a parking lane as far back as the 70's. Just recently traffic increased.
920,350,3317083863733575438702,""" src=""images/04 - Crossing away from crosswalks.png""></span>&nbsp;Jaywalking",Jaywalking,2/7/2018,Wed,,drives,E 8TH ST & GARFIELD PL,E 8th St,Downtown,
921,354,2382667646123828496195,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"With revitalization, additional crosswalks needed in business district coupled with traffic calming measures",walks,HARRISON AV & MONTCLAIR AV,Harrison Av,Westwood,
922,563,3359067821533591038001,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Marked crosswalk (no light). Vehicles do not yield.,walks,E 6TH ST & BROADWAY,Broadway,Downtown,
923,556,3276712371832769523744,Speeding,Speeding,2/7/2018,Wed,,walks,BIDDLE ST & GLENMARY AV,Glenmary Av,Clifton,This is a serious problem here.
924,557,2970179005629703380044,Speeding,Speeding,2/7/2018,Wed,"Hamilton Ave. is notorious for speeding cars, especially during rush hours when two lanes are open in both directions.  Ironically it is often the lane adjacent to the sidewalks with the higher speeding cars.",walks,HAMILTON AV & POPE AL,Pope Al,Northside,The people in the sidewalk lane are usually the ones weaving around other cars to get ahead. I would love one lane of traffic and parking on both sides or a two way bike lane on one side. I agree.  Speeding is rampant.
926,558,3275956367132767123718,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,,walks,GLENMARY AV & BROOKLINE AV,Glenmary Av,Clifton,Agreed. Have seen people almost run over even AFTER the yield to pedestrian sign was put up!!! I agree. I agree.  This has happened to me multiple times.  The new lane lines have done nothing to reduce traffic speeds on this road. Vehicles do not yield to the crosswalk and pedestrians have a difficult time crossing as cars come very quickly over the crest of the hill on Glenmary headed towards Clifton Ave.
930,559,3358619795833586687659,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,Marked crosswalk (no light) vehicles do not yield.,walks,CUTS AL & SYCAMORE ST,Sycamore St,Downtown,
931,564,3326577609933270376181,Walk signal is too short,Walk signal is too short,2/7/2018,Wed,"The walk signal duration is not long enough to cross the street.  This unfortunately sends the wrong message to car drivers, who assume that once the walk signal is replaced with a red hand, that they have the right to plow into you.",walks,I-75 NB EXWY TO W 2ND ST RAMP & ELM ST,W 2nd St,Downtown,
932,560,4263508858542638888548,Other,Other,2/7/2018,Wed,Parking in no-parking zone on Ibsen during Crossroads services. Ticket them all a few Sundays in a row then at random few times a year and will surely stop.,drives,IBSEN AV & CALVERT ST,Ibsen Av,Oakley,Every week.  You would think the dozen or so CPD officers who work details there on Sundays would have noticed by now... Agreed
934,565,4263579924742639429181,Jaywalking,Jaywalking,2/7/2018,Wed,Jaywalking after bus drop off vs using crosswalk at intersection.,drives,RIDGE AV & ALAMO AV,Alamo Av,Oakley,
935,566,2969528300729695683449,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/7/2018,Wed,"Most drivers never stop for pedestrians in this mid street crosswalk, even when the pedestrian is halfway across. Maybe more signage and better public education will help.",walks,SPRING GROVE AV & LEDLIE ST,Spring Grove Av,Camp Washington,Agree.
936,577,2987661191229881943100,Speeding,Speeding,2/7/2018,Wed,"Speed limit is 30, cars regularly do double that!",travels (other),GEORGIA CT & GEORGIA CT TERM N OF BRUCE AV,Virginia Av,Northside,"Very much agree! Vehicles go up and down Virginia at speeds much higher than the posted speed limit, causing both safety and noise concerns."
937,567,4253854517642539205851,Speeding,Speeding,2/7/2018,Wed,"Narrow street, parking both sides, blind turn from cul de sac due to parking, many pedestrians, small children, dogs, cars cut through from/to Paxton at high rate of speed.",walks,SHEREL LN & SHEREL CIR,Sherel Ln,Oakley,
938,578,3285251230632858032232,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"Because there are no zebra stripes at this intersection, cars don't pay much attention to the many pedestrians that cross Terrace here. Zebra stripes would help remind motorists that pedestrians have the right of way here.",walks,TERRACE AV & CLIFTON AV,Terrace Av,Clifton,I agree totally
939,579,3325801491533270254975,Walk signal is too short,Walk signal is too short,2/7/2018,Wed,This is a very wide street with a very short cross walk signal.  No signal should be so short in duration that it is insufficient to safely cross all of the lanes with the safe walk signal.  A flashing redhead sends the wrong message to drivers,walks,MEHRING WY & ELM ST,W Mehring Wy,Downtown,
940,568,4281770624942822215895,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,"lt turn combined straight through are marked the same lane and second lane is only rt turn and ok except school. 

SB right turn and straight the right lane and or consider lt turn lights.  I experience/witness problems",drives,RIDGE AV & WOODFORD RD,Woodford Rd,Pleasant Ridge,I agree
941,569,3273274375432737863512,Jaywalking,Jaywalking,2/7/2018,Wed,"Because this is a really awkward intersection and there are no crosswalks nearby, you are forced to jaywalk in order to get from the south side of Ludlow over to the park on the north side. This is very dangerous because the street is so wide here.",walks,MORRISON AV & MORRISON PL,Ludlow Av,Clifton,"I agree. Lots of children crossing here to get to the park. Cars driving fast! Crosswalk needed. Crossing at a corner is not jaywalking. In fact, each corner has what is legally considered an ""unmarked crosswalk"" and motorists are required by law to yield right-of-way to pedestrians. So in fact the problem here is motorists not yielding. Agreed. Lots of kids cross here to access the park and it is EXTREMELY dangerous. Cars are often hitting 50mph at this very wide section of Ludlow. Really need crosswalk."
945,570,4263326742342637467735,Other,Other,2/7/2018,Wed,Intersection controlled by police during peak times for Crossroads Church favors churchgoers at expense of sufficient ingress/egress for nearby neighborhood residents. Frustrated drivers = dangerous for drivers and pedestrians.,travels (other),RIDGE AV & MADISON RD,Madison Rd,Oakley,Agree!! Agreed
947,580,4263746773542638888548,Other,Other,2/7/2018,Wed,Intersection controlled by police during peak times for Crossroads Church favors churchgoers at expense of sufficient ingress/egress for nearby neighborhood residents. Frustrated drivers = dangerous for drivers and pedestrians.,travels (other),RIDGE AV & IBSEN AV,Ridge Av,Oakley,Agree!! Agreed
949,581,3273212379632732743754,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"There aren't any crosswalks along the stretch of Ludlow that goes to and from the park. People end of jaywalking across four lanes of traffic, and it's really dangerous. A crosswalk would help a lot.",walks,MORRISON AV & MORRISON PL,Ludlow Av,Clifton,"Absolutely need a crosswalk here! There's a park with children, speeds are crazy and there is no safe way to cross the street for blocks. 1000x agree.  It's almost a full mile between crosswalks on this stretch, which is just absurd in a 'walkable' neighborhood. I was hit by a car at the intersection of Morrison and Ludlow.  The car (coming from the south) was initially turning right, then abruptly swung  left onto Ludlow and hit me on the wrong side of the double line.  We need a crosswalk. I agree.  Access to Dunore Park is extremely limited because of Ludlow Ave cutting off the South side of Clifton from using its closest greenspace and only playground.  There needs to be a boulevard or crosswalk / traffic light."
953,582,4254599510642547056163,Parking too close to intersection,Parking too close to intersection,2/7/2018,Wed,"Can't turn onto Club View Safely, Can't see onto Brotherton Safely",drives,BROTHERTON RD & CLUB VIEW DR,Club View Dr,Oakley,
954,583,4515819548845166045422,Walk signal is too short,Walk signal is too short,2/7/2018,Wed,Light does not allow traffic to clear on each cycle both directions and forces a lot of drives to pus the yellow/red.  This is also s bus stop and have to run with this cycle and 3 lanes to cross,walks,WOODFORD RD & KENNEDY AV,Woodford Rd,Kennedy Heights,
955,571,4078237045440783580141,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,"For walkers/runners going east on Observatory on the south sidewalk crossing Linwood, drivers frequently ignore the ""No Turn on Red"" sign  at the traffic light and nearly miss pedestrians.",walks,SHAW AV & LINWOOD AV,Shaw Av,Hyde Park,"Agree. Drivers treat this as a rolling stop, regularly endangering pedestrians. A white Ford focus nearly hit me and my baby's stroller this weekend while I was crossing East to West. Agree! I agree. Too many run the red light and speed in this area making it unsafe for pedestrians The no turn on red during school days rule is rarely followed as well. I agree.  The light system is inconsistent leading many drivers to assume the sequence will always be the same, and it is not.  Walkers/runners at risk. Had our realtor showing us around say: ""No turn on red in Cincinnati is optional."" It is quite evident at this intersection. I agree See this every day!"
963,584,4239656718442308196811,No Sidewalks,No Sidewalks,2/7/2018,Wed,"There is a small stretch as you go up the hill and into the ""S-Curve"" where there are no sidewalks, making it hard for drivers to spot pedestrians that are forced into the street as they go up or down the hill.",walks,KINMONT CT & KINMONT CT TERM S OF KINMONT ST,Alpine Ter,Hyde Park,"I agree - this stretch is very dangerous, as are other parts of Alpine that don't have a sidewalk. The cars absolutely fly up and down the hill as well, as if they are scared their cars will be unable to make it up the hill. I walk this hill everyday and am constantly in fear without the sidewalks, and usually end up in the yards and bushes. Agree Sidewalk (or steps of some kind) are desperately needed here, please! Agree
Pedestrians need a safe space to walk agree"
969,585,3360584346133609883552,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Many cars turning left from Eden Park Drive onto south I-71 ramp don't yield to those turning right onto the ramp from Dorchester. Many cars also run through red lights at this intersection.,drives,I-71 NB EXWY TO DORCHESTER AV RAMP & READING RD,Dorchester Av,Mt. Auburn,AGREE - need a turn lane or something - cars getting ready to turn often near into the lane of traffic coming down dorchester.  Lots of near accidents.
970,572,1528516234515286161887,Speeding,Speeding,2/7/2018,Wed,"There are lots of kids walking to and from school, delivering newspapers and playing in front yards, etc all along Hillside. This area specifically had lots of speeders.",drives,CHELSEA PL & HILLSIDE AV,Hillside Av,Sayler Park,agree. needs sidewalk
971,573,3305225297433053753005,Speeding,Speeding,2/7/2018,Wed,,walks,FINDLAY ST & CAMPBELL ST,Findlay St,Over-the-Rhine,
972,586,3317232777633172887442,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,Metro and TANK buses run red lights in the entire downtown area with impunity.  This poses a significant safety concern to pedestrians and other drivers alike.,walks,W 5TH ST & VINE ST,Vine St,Downtown,I absolutely agree with this statement.  I don't know how many times either I have almost been hit by a car and/or someone crossing the street has almost been hit by a car.
973,574,3325632622333257395671,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"There is a huge number of people walking from one of the largest parking lots towards the city, and no decent crosswalk.  A walking bridge over or crosswalk would be very helpful to get to the Lot A area, where they can cut through.",walks,W 3RD ST & CENTRAL AV,Central Av,Downtown,
974,587,1162824768911630447815,Crosswalk Needed,Crosswalk Needed,2/7/2018,Wed,"This has become a very high traffic area. 
The entrance to the park is right at this intersection and I have witnessed many serious injuries and deaths at this intersection. There needs to be a crosswalk and traffic lights",walks,THORNTON AV & RRXING B AND O RAILROAD AND PENN,Thornton Av,Sayler Park,"I agree. Without a safe way to cross US 50, this park is almost useless Agree! Very dangerous to enter the park on foot, and not safe driving, either. We drive to the park, even though it is easy walking distance from our home. I agree, we need safe crossings for foot traffic & bicycles I agree.  Traffic light and crosswalk needed. Traffic light would also give neighborhood walking access to park needs traffic light or walking bridge. VERY risky to walk I agree. The residents of Sayler Park have no safe access to Fernbank Park, Cabana, and 13 Below Brewery. When a train comes through and cars line up on 50 to wait to turn, it is incredibly scary and dangerous."
981,575,1156514262411566322429,Jaywalking,Jaywalking,2/7/2018,Wed,There needs to be a cross walk at the intersection of Gracely and Twain as there are alot of foot traffic from one side of the street to the other from between parked cars.,drives,TWAIN AV & GRACELY DR,Gracely Dr,Sayler Park,I agree!
982,588,3317170812733172117895,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/7/2018,Wed,"Cars continuously run this crosswalk light, especially those pulling out of the 600 Vine St parking garage.",walks,GANO ST & VINE ST,Vine St,Downtown,
983,576,2967066671429771857581,Walk signal is too short,Walk signal is too short,2/7/2018,Wed,,walks,DREMAN AV & BEEKMAN ST,Beekman St,South Cumminsville,
984,593,2966904590929670766719,Lack of Visibility,Lack of Visibility,2/8/2018,Thu,Streetlights out.,walks,BEEKMAN ST BRIDGE & W FORK CREEK,Beekman St,South Cumminsville,
985,589,3306303312933063273004,Jaywalking,Jaywalking,2/8/2018,Thu,The near constant parade of adults to/from the store on the East side of Vine to the park is a big problem.  They ignore oncoming cars and frequently obstruct traffic.,drives,FINDLAY ST & VINE ST,Vine St,Over-the-Rhine,
986,594,2978464745129788267417,Other,Other,2/8/2018,Thu,Sidewalks beneath 74 overpass covered in layer of droppings that collect/fall from above. Been more than a year since these have been cleaned up.,walks,I-74 EB EXWY BRIDGE & ELMORE ST,Elmore St,South Cumminsville,
987,595,2835993705428360177168,Speeding,Speeding,2/8/2018,Thu,"Cars coming downhill on Faraday at high speeds, whipping around turn. Drivers and pedestrians traveling on Cass, Dreman and parked cars risk being hit.",drives,CASS AV & FARADAY RD,Cass Av,Millvale,
988,590,2989423495532523584291,Speeding,Speeding,2/8/2018,Thu,This is a 25mph zone residential and narrow street. Avg speed 40-50 mph sidewalks close to street many parked cars difficult to cross street safely poor sight lines.  Have requested speed bumps to no avail,walks,BARVAC AV & BARVAC AV TERM E OF HOWARD AV,Springlawn Av,Northside,
989,596,2883048987628833599839,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/8/2018,Thu,Also speeding,walks,HAWTHORNE AV & PRICE AV,Price Av,East Price Hill,
990,591,2383024521823834955237,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/8/2018,Thu,,walks,MONTANA AV & EPWORTH AV,Montana Av,Westwood,I agree
991,592,2381877388623828703806,Crosswalk Needed,Crosswalk Needed,2/8/2018,Thu,,walks,BOUDINOT AV & LISCHER AV,Lischer Av,Westwood,
992,597,2883699980828838020754,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/8/2018,Thu,And speeding,walks,GRAND AV & PRICE AV,Grand Av,East Price Hill,
993,598,2381938448523819734836,Crosswalk Needed,Crosswalk Needed,2/8/2018,Thu,,walks,DAYTONA AV & BOUDINOT AV,Boudinot Av,Westwood,Yes! A crosswalk is needed.
994,599,2884419808628845138924,Speeding,Speeding,2/8/2018,Thu,,walks,BUSHNELL ST & MT HOPE AV,Mt Hope Av,East Price Hill,"There are young children living along the 700 block of Mt. Hope. Speeding is definitely a problem and safety concern. Mt. Hope is just too wide of a street, which encourages speeding. It seriously needs a road diet."
996,600,4230422573442307985697,No Sidewalks,No Sidewalks,2/8/2018,Thu,"Lots of children in this neighborhood, walking in the street. Dangerous during evening rush hour. Why no sidewalks?",walks,NANCY LN & NASH AV,Nash Av,Mt. Lookout,
997,609,2884419808628845138924,Other,Other,2/8/2018,Thu,Need stop sign here,walks,BODLEY AV & MT HOPE AV,Mt Hope Av,East Price Hill,I agree. Would help to slow down traffic.
998,610,2078552470320789194669,Speeding,Speeding,2/8/2018,Thu,,walks,DAYTONA AV & STANHOPE AV,Daytona Av,Westwood,
999,601,2884364762328844057973,Speeding,Speeding,2/8/2018,Thu,,walks,KULLA VIKEN LN & MT HOPE AV,Mt Hope Av,East Price Hill,"Mt. Hope is just too wide of a street, which encourages speeding. It seriously needs a road diet."
1000,611,2078191473920785524703,Speeding,Speeding,2/8/2018,Thu,,walks,DAYTONA AV & BUELL ST,Daytona Av,Westwood,
1001,602,4230798569742316955606,No Sidewalks,No Sidewalks,2/8/2018,Thu,"sidewalks are there, then they disappear, forcing people to walk out into the street near this sometimes dangerous corner.",walks,VAN DYKE AV & NASH AV,Nash Av,Mt. Lookout,
1002,603,2989384402529895164068,Parking too close to intersection,Parking too close to intersection,2/8/2018,Thu,"Corner of Hamilton and Stanford need no parking sign from corner to drive way on south side.  Residents from apt park there , only one car can pass at a time. Dangerous turning onto or from Hamilton ave because no room.",drives,STANFORD DR & NORTHVIEW AV,Stanford Dr,Northside,Agree
1003,612,2894645688828850567254,Other,Other,2/8/2018,Thu,North side of Elberon blocked by hillside slide,drives,GALVIN AV & GALVIN AV TERM NE OF ANSONIA AV,Elberon Av,Sedamsville,
1004,604,2884258933428843039749,Double Parking,Double Parking,2/8/2018,Thu,In front of Reds Deli,walks,PRICE AV & SUMMIT AV,Summit Av,East Price Hill,"Agreed! 
Lots of u-turns, generally without warning or checking the street."
1005,605,3284535271532745723148,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/8/2018,Thu,We live on corner of Ludlow and Whitfield. Cars SPEED and run red light.  We've been almost hit several times. We've seen people and dogs get hit. A UC shuttle bus stop on corner and students almost get hit.  This is extremely dangerous.,walks,LUDLOW AV & WHITFIELD AV,Whitfield Av,Clifton,"I agree-people are speeding, particularly when a bus is waiting to turn left. Would be safer if there was a turn left signal. I also have seen many many times people ignoring a red light here due to excessive speeding.  It seems that way too many drivers speed through the business district here as they do all along the length of Ludlow I agree, this is a very dangerous set of of intersections Whitfield is generally viewed as the end of the business district by speeders as they exit down the hill. More needs to be done to discourage speeders and protect residents crossing the street in this area as there is only one crosswalk to use. Agree!   Shuttle stop needs moved away from Ludlow further down Whitfield,  when shuttle stops other left turning cars behind it get trapped in the intersection. Also, the detector loop on Whitfield, on the north side, has been non-functional for years and has not been replaced. As a result, the light on Ludlow turns red every cycle all day long, wasting countless hours of drivers' time and much fuel. The position of the crosswalk across Ludlow, in the middle of the intersection, seems strange. Cars illegally turn right on red here all the time, sometimes proceeding north jogging from the southern leg of Whitfield to the north, which means they are driving straight across the intersection against the red light."
1013,613,4752245647147526376430,Speeding,Speeding,2/8/2018,Thu,Many people speed down Roe. We need speed humps here.,walks,MATHIS ST & ROE ST,Roe St,Madisonville,
1014,614,4753929629247640207116,No Sidewalks,No Sidewalks,2/8/2018,Thu,"An entrance to the Little Duck Creek Trail is close to here, but it is dangerous to get to without the sidewalk.",walks,ROE ST & SETTLE ST,Settle St,Madisonville,
1015,615,3266329715132663827632,Lack of Visibility,Lack of Visibility,2/8/2018,Thu,"The intersection of Clifton Avenue and Lafayette is extremely dangerous for pedestrians trying to cross Clifton. The curve on Clifton north of the intersection blocks visibility of cars traveling south, and there is no crosswalk marked.",walks,LAFAYETTE CIR & LAFAYETTE AV,Clifton Av,Clifton,"PLEASE either put a stoplight at Lafayette or aggressively ticket drivers who speed around this end. agree a cross walk would be great but it will need flashing lights for cars coming up hill so that they are prepared to stop I agree, a crosswalk is needed here or nearby. very difficult and dangerous to cross clifton avenue on foot and no crosswalk in sight. It is equally dangerious to try to pull out on to Clifton Avenue becauese of the lack of visibility to the north Need a crosswalk here. We regularly cross with our small children, it is harrowing. People do need to cross the street somewhere on Clifton Ave.   There is no cross walk within 1/2 to 3/4 mile of this intersection.  We need help from Traffic Engineering on the best place to put a crossing. Because it is a dangerous intersection, it is EXACTLY the place for a crosswalk No one should be crossing Clifton at this point.  This would be a horrible place for a crosswalk."
1023,606,3225830356532359452929,Speeding,Speeding,2/8/2018,Thu,"I commute to Cincinnati State almost every day, and people FLY down Winton hill. People pass me like I'm standing still, it's insane. It's the worst (as far as I know) 630 to 7 in the morning.",drives,WINTON RD & WINTON RIDGE LN,Winton Ridge Ln,Winton Hills,I agree
1024,607,4754586506147546105322,No Sidewalks,No Sidewalks,2/8/2018,Thu,"There are no sidewalks on Marietta and a lot of kids who live in this neighborhood. It's easy to get to the park using this street, but people often speed. A sidewalk would be much better.",walks,PALMETTO ST & BLANEY AV,Blaney Av,Madisonville,
1025,608,4753757457547537794877,No Sidewalks,No Sidewalks,2/8/2018,Thu,This is a path to the park but there are no sidwalks.,walks,SETTLE ST & BRAMBLE AV,Settle St,Madisonville,agree
1026,625,4752932496547537794877,Crosswalk Needed,Crosswalk Needed,2/8/2018,Thu,"People speed down Bramble, and in order to get to the bike trail you have to get cross to get to Settle. Crossing feels really dangerous. There should be a crosswalk that is here or from Marietta.",walks,SETTLE ST & BRAMBLE AV,Bramble Av,Madisonville,
1027,626,2381546537323820215331,Crosswalk Needed,Crosswalk Needed,2/8/2018,Thu,,walks,MONTANA AV & BOUDINOT AV,Montana Av,Westwood,I agree I agree directly across from park
1029,616,2381090541323815465373,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/8/2018,Thu,,walks,MONTANA AV & CHEVIOT AV,Montana Av,Westwood,"The cars drive insanely fast. Lots of kids including mine cross here but I know it?ÇÖs a matter of time before someone gets killed Strongly agree with previous comments. Cars coming from Boudinot come up the hill too fast and pedestrians and bicyclist already in the crosswalk are in extreme danger. Needs a four way stop- even with the signs and playground signs, people ignore the crosswalk or try to go around the cars that do actually stop. I agree! This is true needs better visibility like flashing lights"
1034,617,4754363624847543976550,No Sidewalks,No Sidewalks,2/8/2018,Thu,There is no reason why the streets that run north/south in Madisonville should not have sidewalks.,walks,JAMESON ST & BUCKINGHAM PL,Jameson St,Madisonville,
1035,618,4098324281040987562567,Vehicles do not yield at crosswalks,Vehicles do not yield at crosswalks,2/8/2018,Thu,"Too often southbound cars on Delta turning left/outbound on Columbia Pkwy, do not yield to pedestrians. I've been clipped once and nearly hit at least two more times.
Also, the walk light is too short.",walks,COLUMBIA PKWY & DELTA AV,Columbia Pkwy,East End,"I agree. Problem is because cars turning left off Delta cant see oncoming traffic due to the lane configuration.  Thus, more focused on cars coming opposite direction than pedestrians.  Intersection needs either a left arrow or deddicated left lane I agree!  As a parent of a student that catches the bus to/from school at this corner, I?ÇÖve been horrified at the way drivers speed around this corner without regard for pedestrians in the crosswalk. Agree. As a runner in the area, I have been almost hit here more times than I can count."
1038,627,3008605022830087759234,Other,Other,2/8/2018,Thu,"The sidewalk from Northbend to Spring Grove consistently has debris on it, and the construction crews using it as their storage place for the past month hasn't helped. When I bike down to college, it's like a obstacle course.",bikes,SOUTHRIDGE LN & TOWERWOODS DR,Hamilton Av,College Hill,
1039,619,4221108325942219082271,No Sidewalks,No Sidewalks,2/8/2018,Thu,,walks,VINEYARD PL & TUSCULUM AV,Vineyard Pl,Mt. Lookout,I agree I agree!
1041,628,3028229703530182446673,Speeding,Speeding,2/8/2018,Thu,The Speed limit is 25 between here and Meredith. It's common to see cars doing 45 or more through here,bikes,HAMILTON AV & HOLLYWOOD AV,Hamilton Av,College Hill,I agree! I agree. I agree
1044,629,4220741216042212081737,Other,Other,2/8/2018,Thu,Sidewalk bordering Alms Park/park land is unusable - drainage and/or hillside slippage makes sidewalk dangerous at best.,walks,ALMS PARK DR & TUSCULUM AV,Tusculum Av,Columbia Tusculum,Agreed!
1045,630,3361049166533610921317,Other,Other,2/8/2018,Thu,Cars traveling East on Elsinore Pl intending to turn left (North) on Gilbert don't seem to know to yield to oncoming traffic (traveling from Elsinore Ave West on Elsinore Pl). I think there should be a left turn signal traffic light.,drives,ELSINORE AV & ELSINORE PL,Elsinore Av,Mt. Adams,
1046,631,2978378956129785459162,Other,Other,2/8/2018,Thu,"Traveling east on Colerain to the fork at Blue Rock,  there is a traffic light for the lane to Blue Rock, and 2 lights for the 1 lane staying on Colerain, making it seem like there are 2 lanes to Colerain, when there is only 1 lane.",drives,COLERAIN AV & BLUE ROCK ST,Colerain Av,Northside,
1047,620,3839336915338306629103,Speeding,Speeding,2/8/2018,Thu,"Cars  fly down the street so fast you cannot get their plate or sometimes even model of car. I walk and cross the street, many times with an infant in my arms.",walks,HEREFORD ST & BURNS AV,Hereford St,Hartwell,
1048,632,3306619129633066711000,Speeding,Speeding,2/8/2018,Thu,"People drive recklessly. Tonight alone, around 6:30 pm, someone actually sped past me illegally in the oncoming traffic lane and I witnessed two u-turns in the middle of this block of vine.",drives,E 15TH ST & W 15TH ST,Vine St,Over-the-Rhine,
1049,621,2815441768729971515100,Speeding,Speeding,2/8/2018,Thu,Common to see 45 or more in this 35 section.,bikes,KIRBY AV & MEHMERT AV,Kirby Av,Mt. Airy,
1050,622,3315962964933159939456,Long wait for walk signal,Long wait for walk signal,2/8/2018,Thu,,walks,ERICH KUNZEL WY & ELM ST,Elm St,Over-the-Rhine,
1051,633,3275178531032761205201,Vehicles run red lights or stop signs,Vehicles run red lights or stop signs,2/8/2018,Thu,,walks,MIDDLETON AV & MCALPIN AV,McAlpin Av,Clifton,4 way stop. Coming up or down mc alpine or Middleton- many cars don?ÇÖt seem to want to stop I agree
1053,634,3316868911233168958948,Parking on the sidewalk,Parking on the sidewalk,2/8/2018,Thu,Parking your SUV on the sidewalk is the epitome of conspicuous consumption.,walks,DOERR AL & W 9TH ST,Doerr Al,Downtown,I agree
1054,623,3751399588840845625093,Speeding,Speeding,2/8/2018,Thu,"People speed on Columbia Parkway often.  Because of the heavy traffic and lack of shoulders, this type of aggressive driving is unsafe and should be monitored regularly.",drives,HOFF AV & HOFF AV TERM W OF ST ANDREWS ST,Columbia Pkwy,Hyde Park,agree wholeheartedly.
1055,635,3347953633933480165958,Parking on the sidewalk,Parking on the sidewalk,2/8/2018,Thu,Haven't we suburbanized the riverfront enough?  Parking on the sidewalk in this location needs to end.,walks,E FREEDOM WY & WALNUT ST,Walnut St,Downtown,The vehicles on the sidewalk/plaza are embarrassing. Agreed!  Freedom Center CONSTANTLY has cars parked on the sidewalk.  This is illegal.  Sometimes cars block the main sidewalk on Walnut Street. Agree
