"address_x","lat","long","age","community_council_neighborhood","cpd_neighborhood","crashdate","crashlocation","crashseverity","crashseverityid","datecrashreported","dayofweek","gender","injuries","instanceid","lightconditionsprimary","localreportno","mannerofcrash","roadconditionsprimary","roadcontour","roadsurface","sna_neighborhood","typeofperson","weather","zip","dist","cell_id","lat_cell","long_cell","hood","hood_id"
"E I275 AT 72-4 MM",39.061597,-84.421034,"41-50","N/A","N/A","03/20/2016 09:33:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"03/20/2016 09:33:00 PM +0000","SUN","M - MALE","5 - FATAL","B1A79BC7-96AC-4915-B9D0-ED9DDD60E52C","4 - DARK - LIGHTED ROADWAY","165004194","2 - REAR-END","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45206",0.203257390856684,240006,39.0624408122465,-84.4217913556542,"California",199824
"27XX WASSON RD",39.145752,-84.441337,"31-40","N/A","N/A","08/25/2016 02:49:00 AM +0000","03 - T-INTERSECTION","1 - FATAL INJURY",1,"08/25/2016 02:50:00 AM +0000","THU","M - MALE","5 - FATAL","B17BDD59-4A27-428D-8614-5276BFFAAC23","4 - DARK - LIGHTED ROADWAY","165013628","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","2 - CLOUDY","45209",0.288960999874992,330043,39.1457096935867,-84.4421242452177,"Oakley",202657
"E I275 AT 72-9 MM",39.059577,-84.423766,"18-25","N/A","N/A","09/05/2015 06:58:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/05/2015 07:00:00 AM +0000","SAT","M - MALE","5 - FATAL","7FDE8A99-EF17-4B82-8E1D-D0FE2236A50A","1 - DAYLIGHT","155012606","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","3 - CURVE LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45230",0.153667004618041,250005,39.0601930776927,-84.424050565103,"California",199824
"N I75 AT 0-9 MM",39.10234,-84.523441,"UNDER 18","N/A","N/A","02/20/2014 10:07:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"02/20/2014 10:08:00 PM +0000","THU","F - FEMALE","5 - FATAL","BB2BED48-54D6-4C05-B833-857658A3196D","4 - DARK - LIGHTED ROADWAY","145001508","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","2 - CLOUDY","",0.195952880490373,690024,39.1029996928754,-84.5234558830451,"West End",276647
"36XX WARSAW AV",39.109177,-84.563147,"41-50","N/A","N/A","11/07/2017 06:49:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"11/07/2017 06:49:00 AM +0000","TUE","M - MALE","5 - FATAL","0A19EB90-B77E-45C6-AF74-614ED9366F2D","4 - DARK - LIGHTED ROADWAY","175017085","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","4 - RAIN","45205",0.129126175257867,870027,39.1097485217221,-84.564121720212,"East Price Hill",273561
"55XX COLUMBIA PY",39.135406,-84.404518,"51-60","N/A","N/A","09/14/2013 07:30:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/14/2013 07:33:00 PM +0000","SAT","M - MALE","5 - FATAL","E7F478D0-FD67-4968-8331-537548B2F7EC","1 - DAYLIGHT","135010169","2 - REAR-END","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45227",0.16137083256493,160038,39.1344211347436,-84.4037176854102,"Linwood",201803
"S I71 AT 1-3 MM",39.102315,-84.505307,"26-30","N/A","N/A","01/12/2018 12:16:00 AM +0000","08 - OFF RAMP","1 - FATAL INJURY",1,"01/12/2018 12:17:00 AM +0000","FRI","M - MALE","5 - FATAL","37A59480-A496-4E06-8C73-8727779534FF","4 - DARK - LIGHTED ROADWAY","185000566","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","3 - CURVE LEVEL","1 - CONCRETE","N/A","D - DRIVER","4 - RAIN","",0.167152892109472,610024,39.1029956815969,-84.5053821788502,"Central Business District",273189
"E I275 AT 72-4 MM",39.061027,-84.420994,"41-50","N/A","N/A","03/20/2016 09:33:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"03/20/2016 09:33:00 PM +0000","SUN","M - MALE","5 - FATAL","1D03EA1C-A4BC-4378-90D9-2E8A102E764E","4 - DARK - LIGHTED ROADWAY","165004194","2 - REAR-END","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45206",0.29281216056493,240005,39.0601908111594,-84.4217913556628,"California",199824
"63XX CENTER HILL AV",39.197772,-84.508821,"31-40","WINTON HILLS","WINTON HILLS","04/10/2017 02:05:00 AM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"04/10/2017 02:08:00 AM +0000","MON","M - MALE","5 - FATAL","5B9CA623-E650-4DD5-8E09-10BACC593293","4 - DARK - LIGHTED ROADWAY","175005170","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","WINTON HILLS","D - DRIVER","1 - CLEAR","45232",0.110041829836656,630066,39.1974970293516,-84.5099006044912,"Winton Hills",276110
"25XX COLUMBIA PY",39.125501,-84.462705,"31-40","N/A","N/A","05/05/2016 11:39:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"05/05/2016 11:39:00 AM +0000","THU","M - MALE","5 - FATAL","5185FDFB-7C4C-4BB8-85E7-6D683CD9652E","1 - DAYLIGHT","165006925","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","2 - CLOUDY","45202",0.0795755240971362,420034,39.1254749875569,-84.4624571450408,"Hyde Park",201414
"53XX WINTON RD",39.190304,-84.523427,"UNDER 18","N/A","N/A","01/01/2018 01:19:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"01/01/2018 01:19:00 PM +0000","MON","F - FEMALE","5 - FATAL","F9A17D15-188B-4350-AEB5-DDB261BF15F3","1 - DAYLIGHT","185000042","6 - ANGLE","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","1 - CLEAR","45232",0.113449427483663,690063,39.1907497720411,-84.5234558829133,"Winton Hills",276110
"48XX WINTON RD",39.181521,-84.520981,"18-25","SPRING GROVE VILLAGE","SPRING GROVE VILLAGE","04/27/2017 04:32:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"04/27/2017 04:32:00 PM +0000","THU","M - MALE","5 - FATAL","2113185E-3A4F-4672-88F0-FF875323C424","1 - DAYLIGHT","175006146","6 - ANGLE","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","SPRING GROVE VILLAGE","D - DRIVER","1 - CLEAR","45232",0.128068531110524,680059,39.1817494149697,-84.5211966697909,"Winton Hills",276110
"55XX COLERAIN AV",39.194146,-84.574206,"OVER 70","N/A","N/A","04/14/2016 03:36:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"04/14/2016 03:38:00 PM +0000","THU","M - MALE","5 - FATAL","28F3280F-0D01-4CC9-A742-736213CDEFE6","1 - DAYLIGHT","165005619","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45239",0.291216204678367,910065,39.1952464165586,-84.5731585722835,"Mt. Airy",274620
"2XX E KING DR",39.134968,-84.504794,"61-70","N/A","N/A","05/28/2018 10:10:00 AM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"05/28/2018 10:10:00 AM +0000","MON","F - FEMALE","5 - FATAL","405DDA56-25F4-4A62-B742-11A98126D784","1 - DAYLIGHT","185007482","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45219",0.0977827340273494,610038,39.1344957092315,-84.5053821787758,"Corryville",200172
"N I75 AT 4-6 MM",39.153157,-84.53812,"18-25","N/A","N/A","03/13/2015 06:08:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"03/13/2015 06:08:00 PM +0000","FRI","M - MALE","5 - FATAL","EB368D92-C058-4438-B056-0F0165E132D4","4 - DARK - LIGHTED ROADWAY","155003574","7 - SIDESWIPE, SAME DIRECTION","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","4 - RAIN","45223",0.140553762047993,750046,39.1525009153223,-84.5370111621094,"Clifton",200052
"I7X EX",39.132007,-84.493762,"18-25","AVONDALE","AVONDALE","02/24/2013 02:04:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"02/24/2013 02:05:00 AM +0000","SUN","M - MALE","5 - FATAL","DF598EC2-04D0-4D60-AB5D-AB09359837C4","4 - DARK - LIGHTED ROADWAY","135002371","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","AVONDALE","P - PEDESTRIAN","1 - CLEAR","45206",0.125833767482963,560037,39.1322417823509,-84.4940861149623,"Walnut Hills",204112
"23XX WESTWOOD NORTHERN",39.145482,-84.572568,"51-60","WESTWOOD","WESTWOOD","12/07/2014 12:55:00 PM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"12/07/2014 12:59:00 PM +0000","SUN","F - FEMALE","5 - FATAL","6F0F973B-D002-4211-BD3D-8EEF472E705B","1 - DAYLIGHT","145012775","3 - HEAD-ON","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","WESTWOOD","D - DRIVER","1 - CLEAR","45225",0.0640841687167108,910043,39.1457463732763,-84.5731585722355,"East Westwood",273574
"48XX READING RD",39.172893,-84.467718,"UNDER 18","N/A","N/A","01/18/2015 10:52:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"01/18/2015 10:52:00 PM +0000","SUN","F - FEMALE","5 - FATAL","2324D82D-E356-4367-BEB2-53BD76EFDBAB","4 - DARK - LIGHTED ROADWAY","155000766","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45237",0.205129312191065,440055,39.1727279444532,-84.4669755681635,"Bond Hill",199607
"60XX KELLOGG AV",39.061841,-84.421848,"61-70","N/A","N/A","06/03/2016 09:58:00 PM +0000","07 - ON RAMP","1 - FATAL INJURY",1,"06/03/2016 09:58:00 PM +0000","FRI","M - MALE","5 - FATAL","13E29517-144B-46F3-B6B4-510BF77B3B60","4 - DARK - LIGHTED ROADWAY","165008713","2 - REAR-END","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45228",0.203257390856684,240006,39.0624408122465,-84.4217913556542,"California",199824
"49XX WINTON RIDGE LN",39.181161,-84.514589,"26-30","N/A","N/A","07/17/2018 02:11:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"07/17/2018 02:11:00 AM +0000","TUE","M - MALE","5 - FATAL","0953C33D-966C-4C49-8374-30F1CC3A9C37","4 - DARK - LIGHTED ROADWAY","185009883","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45232",0.166204590958641,650059,39.1817481061983,-84.5144190305376,"Winton Hills",276110
"22XX SEYMOUR AV",39.178755,-84.455614,"41-50","N/A","N/A","08/12/2015 10:54:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"08/12/2015 10:55:00 PM +0000","WED","F - FEMALE","5 - FATAL","38854C83-C2E5-49FC-BC46-B4979A052916","4 - DARK - LIGHTED ROADWAY","155011259","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","1 - CLEAR","45237",0.0946430937169504,390058,39.1794703150789,-84.4556795106125,"Bond Hill",199607
"34XX WERK RD",39.14144,-84.618183,"61-70","N/A","N/A","05/30/2014 11:07:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"05/30/2014 11:08:00 AM +0000","FRI","F - FEMALE","5 - FATAL","C01DCEC4-33A2-45A3-A234-86CC34533240","1 - DAYLIGHT","145004108","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","1 - CLEAR","45211",0.106419752902424,1110041,39.1412249989627,-84.6183428189162,"Westwood",204284
"48XX GRAY RD",39.179383,-84.525865,"31-40","N/A","N/A","04/17/2018 06:45:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"04/17/2018 06:47:00 PM +0000","TUE","F - FEMALE","5 - FATAL","245A935A-B46C-4207-8251-6BEDF8B2B25A","1 - DAYLIGHT","185005365","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45232",0.154101475540865,700058,39.1795000673321,-84.5257150960868,"Winton Place",204406
"22XX VINE ST",39.122407,-84.515789,"41-50","N/A","N/A","02/18/2017 12:45:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"04/17/2017 05:46:04 PM +0000","SAT","M - MALE","5 - FATAL","AEEC291D-17E4-4B7F-9AE0-9EC7F1674B7D","1 - DAYLIGHT","175002403","6 - ANGLE","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45219",0.104941242392286,660033,39.1232485338519,-84.5166782437008,"CUF",273417
"63XX HAMILTON AV",39.205361,-84.547592,"26-30","N/A","N/A","05/24/2013 08:00:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"05/24/2013 08:00:00 PM +0000","FRI","M - MALE","5 - FATAL","83AA40E7-2D82-476A-B8AF-917F76FB907F","3 - DUSK","135006344","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","1 - CONCRETE","N/A","P - PEDESTRIAN","1 - CLEAR","45224",0.147928670936316,800069,39.2042507440357,-84.548307228187,"College Hill",200100
"N I75 AT 0-9 MM",39.1023,-84.523571,"26-30","N/A","N/A","02/20/2014 10:07:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"02/20/2014 10:08:00 PM +0000","THU","F - FEMALE","5 - FATAL","F835DFCA-9B4C-4AA4-90FF-0E56CE9AF2BF","4 - DARK - LIGHTED ROADWAY","145001508","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","2 - CLOUDY","",0.195952880490373,690024,39.1029996928754,-84.5234558830451,"West End",276647
"10XX W NORTH BEND RD",39.201485,-84.531699,"18-25","N/A","N/A","12/05/2014 02:28:00 AM +0000","03 - T-INTERSECTION","1 - FATAL INJURY",1,"12/05/2014 02:45:00 AM +0000","FRI","M - MALE","5 - FATAL","1C89EFEA-287A-43AB-B3AB-2C8E068A11ED","4 - DARK - LIGHTED ROADWAY","145012747","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","4 - RAIN","45224",0.128055947253298,730067,39.1997507399839,-84.5324927356336,"College Hill",200100
"10XX W NORTH BEND RD",39.201384,-84.534055,"18-25","N/A","N/A","10/03/2014 07:00:00 AM +0000","03 - T-INTERSECTION","1 - FATAL INJURY",1,"10/03/2014 07:00:00 AM +0000","FRI","M - MALE","5 - FATAL","F3A8F6B2-13C0-414C-90D2-F14F1A063909","4 - DARK - LIGHTED ROADWAY","145009514","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","4 - RAIN","45224",0.173218561330105,740068,39.2020008729068,-84.5347519488466,"College Hill",200100
"15XX WEST FORK",39.164724,-84.553183,"41-50","N/A","N/A","02/17/2013 07:45:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"02/20/2013 01:00:00 PM +0000","SUN","F - FEMALE","5 - FATAL","995C38CE-A8C5-4FDF-9A08-F267153ED73D","4 - DARK - LIGHTED ROADWAY","135002235","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45223",0.126081938588569,820051,39.1637503148658,-84.5528256545863,"Northside",274791
"50XX WINTON RD",39.184711,-84.522523,"26-30","N/A","N/A","03/28/2017 10:46:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"03/28/2017 10:47:00 AM +0000","TUE","F - FEMALE","5 - FATAL","BE17E0C6-3A12-4FFF-A2A6-BB9A63003458","1 - DAYLIGHT","175004471","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","2 - CLOUDY","45232",0.124444057893965,690060,39.183999765993,-84.5234558829234,"Winton Hills",276110
"10XX W NORTH BEND RD",39.202784,-84.458998,"OVER 70","N/A","N/A","05/20/2014 09:08:00 AM +0000","03 - T-INTERSECTION","1 - FATAL INJURY",1,"05/20/2014 09:09:00 AM +0000","TUE","M - MALE","5 - FATAL","0D101581-D4B3-46DD-965C-480F67AA09B7","1 - DAYLIGHT","145003862","6 - ANGLE","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45224",0.14761206629845,400068,39.2019719448576,-84.457938721831,"Roselawn",203265
"37XX EARLS COURT VW",39.122008,-84.425621,"18-25","N/A","N/A","11/26/2016 12:17:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"11/26/2016 12:17:00 AM +0000","SAT","M - MALE","5 - FATAL","2876B6F7-4A6F-4ED6-90E2-C954CB3BF682","4 - DARK - LIGHTED ROADWAY","165019633","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","O - OCCUPANT","2 - CLOUDY","45226",0.128324112053249,260032,39.120945331841,-84.4263097744498,"Mt. Lookout",274623
"31XX READING RD",39.138126,-84.496038,"51-60","N/A","N/A","12/22/2017 06:51:00 AM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"12/22/2017 06:51:00 AM +0000","FRI","M - MALE","5 - FATAL","90F21CA2-F000-43FC-AA24-BAE69CF74484","4 - DARK - LIGHTED ROADWAY","175019438","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45229",0.204728939682984,570040,39.1389926603091,-84.496345327604,"Avondale",199345
"28XX CLIFTON AV",39.133732,-84.520734,"18-25","N/A","N/A","06/03/2016 05:55:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"06/03/2016 05:58:00 AM +0000","FRI","F - FEMALE","5 - FATAL","A2E5A449-3B1B-464B-ABCB-C2EEFCA3138D","2 - DAWN","165008655","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45221",0.202075018114686,680038,39.1344993725419,-84.5211966698672,"CUF",273417
"N I471 NO I471 BRID",39.104079,-84.499478,"41-50","MOUNT ADAMS","MOUNT  ADAMS","05/31/2013 05:54:00 PM +0000","08 - OFF RAMP","1 - FATAL INJURY",1,"05/31/2013 05:55:00 PM +0000","FRI","M - MALE","5 - FATAL","1BD93220-6A98-4698-984C-1B4DC8EBA494","1 - DAYLIGHT","135006668","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","02 - WET","4 - CURVE GRADE","1 - CONCRETE","MT. ADAMS","D - DRIVER","4 - RAIN","45202",0.117290932335628,580024,39.1029934579533,-84.498604540415,"Mt. Adams",274619
"7XX GREENWOOD AV",39.153534,-84.488997,"UNDER 18","N/A","N/A","02/19/2018 06:35:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"02/19/2018 06:36:00 PM +0000","MON","M - MALE","5 - FATAL","80902DEA-39D9-4604-AA1D-367934595961","3 - DUSK","185002496","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","P - PEDESTRIAN","2 - CLOUDY","45229",0.160446896901313,540046,39.1524899239599,-84.4895676897556,"North Avondale",274686
"45XX PADDOCK RD",39.17161,-84.47792,"18-25","PADDOCK HILLS","BONDHILL","09/15/2018 01:07:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"09/15/2018 01:08:00 AM +0000","SAT","F - FEMALE","5 - FATAL","140084FD-27B4-42BA-A45C-AB514CC87531","4 - DARK - LIGHTED ROADWAY","185012985","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","BOND HILL","P - PEDESTRIAN","1 - CLEAR","45229",0.162640691021687,490055,39.1727344878858,-84.4782716279655,"Bond Hill",199607
"63XX CENTER HILL AV",39.196932,-84.509121,"31-40","WINTON HILLS","WINTON HILLS","04/10/2017 02:05:00 AM +0000","02 - FOUR-WAY INTERSECTION","1 - FATAL INJURY",1,"04/10/2017 02:08:00 AM +0000","MON","M - MALE","5 - FATAL","6DFF04B1-1BCA-44AB-97C4-28CC0F3A66BF","4 - DARK - LIGHTED ROADWAY","175005170","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","WINTON HILLS","O - OCCUPANT","1 - CLEAR","45232",0.110041829836656,630066,39.1974970293516,-84.5099006044912,"Winton Hills",276110
"E I74 AT 18-7 MM",39.159284,-84.550703,"26-30","N/A","N/A","08/17/2015 02:00:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"08/17/2015 02:00:00 AM +0000","MON","F - FEMALE","5 - FATAL","8726469F-DAA2-4EE9-ADF4-3B2D899CDF45","4 - DARK - LIGHTED ROADWAY","155011469","3 - HEAD-ON","01 - DRY","3 - CURVE LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45211",0.120911453864662,810049,39.1592505288911,-84.5505664413984,"South Cumminsville",275423
"S I75 AT 7-9 MM",39.176681,-84.486713,"41-50","N/A","N/A","10/09/2016 08:48:00 PM +0000","07 - ON RAMP","1 - FATAL INJURY",1,"10/09/2016 08:48:00 PM +0000","SUN","F - FEMALE","5 - FATAL","7C8C5CAB-B6B1-4BBE-A1A5-2050D7EF8ADD","4 - DARK - LIGHTED ROADWAY","165016622","1 - NOT COLLISION BETWEEN TWO MOTOR VEHICLES IN TRANSPORT","01 - DRY","1 - STRAIGHT LEVEL","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45216",0.15194797929288,530057,39.1772389411106,-84.4873084771974,"Bond Hill",199607
"43XX HAMILTON AV",39.168888,-84.541327,"51-60","NORTHSIDE","NORTHSIDE","03/11/2016 11:10:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"03/11/2016 11:12:00 PM +0000","FRI","F - FEMALE","5 - FATAL","DCEA9FEA-E7FA-41F2-AF78-E778B5D2B90D","4 - DARK - LIGHTED ROADWAY","165003721","3 - HEAD-ON","01 - DRY","4 - CURVE GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","NORTHSIDE","D - DRIVER","2 - CLOUDY","45223",0.154080715825604,770053,39.1682509732542,-84.5415295885432,"Northside",274791
"65XX MONTGOMERY RD",39.18824,-84.415334,"OVER 70","KENNEDY HEIGHTS","KENNEDY  HEIGHTS","12/25/2013 12:10:00 AM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"12/25/2013 12:12:00 AM +0000","WED","M - MALE","5 - FATAL","14412CA1-3A85-455E-B64C-22186A363FAD","4 - DARK - LIGHTED ROADWAY","135013104","7 - SIDESWIPE, SAME DIRECTION","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","KENNEDY HEIGHTS","D - DRIVER","1 - CLEAR","45213",0.0579760566543053,210062,39.1884338047751,-84.4150137277658,"Kennedy Heights",201559
"COVEDALE AV",39.110605,-84.606274,"18-25","N/A","N/A","11/10/2013 07:00:00 PM +0000","01 - NOT AN INTERSECTION","1 - FATAL INJURY",1,"11/10/2013 07:02:00 PM +0000","SUN","M - MALE","5 - FATAL","EEBBAFE1-5414-469E-8D77-B95C97D0F49A","5 - DARK – ROADWAY NOT LIGHTED","135011900","6 - ANGLE","01 - DRY","2 - STRAIGHT GRADE","2 - BLACKTOP, BITUMINOUS, ASPHALT","N/A","D - DRIVER","1 - CLEAR","45238",0.150974593252122,1060027,39.1097319525765,-84.6070467599207,"West Price HIll",275981
