street,city,,state,zipCode,lat,long,WalkScore,WalkScoreDesc,BikeScore,BikeScoreDesc,TransitScore,TransitScoreDesc,
SPRINGVIEW DR, Cincinnati,SPRINGVIEW DR Cincinnati,OH,45208,39.250204,-84.59428,94,Walker's Paradise,Bikeable,51,,,
LINWOOD AVE, Cincinnati,LINWOOD AVE Cincinnati,OH,0,39.124804,-84.42009,63,Somewhat Walkable,Somewhat Bikeable,38,38,Some Transit,
PERIGNON PL, Cincinnati,PERIGNON PL Cincinnati,OH,45226,39.119069,-84.43101,39,Car-Dependent,Somewhat Bikeable,26,,,
GRANDIN RD, Cincinnati,GRANDIN RD Cincinnati,OH,45226,39.121333,-84.433172,43,Car-Dependent,Somewhat Bikeable,43,39,Some Transit,
KROGER AVE, Cincinnati,KROGER AVE Cincinnati,OH,0,39.121769,-84.426142,39,Car-Dependent,Somewhat Bikeable,28,,,
EARLSCOURTVIEW , Cincinnati,EARLSCOURTVIEW  Cincinnati,OH,45226,39.121239,-84.425678,29,Car-Dependent,Somewhat Bikeable,28,,,
VINEYARD PL, Cincinnati,VINEYARD PL Cincinnati,OH,45226,39.052302,-84.315159,5,Car-Dependent,,,,,
DEVONSHIRE DR, Cincinnati,DEVONSHIRE DR Cincinnati,OH,45226,39.124123,-84.423246,27,Car-Dependent,Somewhat Bikeable,27,,,
MISSOURI AVE, Cincinnati,MISSOURI AVE Cincinnati,OH,45226,39.119015,-84.435423,33,Car-Dependent,Somewhat Bikeable,26,,,
MISSOURI AVE, Cincinnati,MISSOURI AVE Cincinnati,OH,0,39.118339,-84.434904,33,Car-Dependent,Somewhat Bikeable,26,,,
LEBLOND AVE, Cincinnati,LEBLOND AVE Cincinnati,OH,45208,39.12731,-84.417225,25,Car-Dependent,Somewhat Bikeable,1,,,
HOGE ST, Cincinnati,HOGE ST Cincinnati,OH,45226,39.118338,-84.437304,48,Car-Dependent,Somewhat Bikeable,34,,,
EMPRESS AVE, Cincinnati,EMPRESS AVE Cincinnati,OH,0,39.120794,-84.435974,41,Car-Dependent,Somewhat Bikeable,19,,,
CHARDONNAYRIDGE , Cincinnati,CHARDONNAYRIDGE  Cincinnati,OH,45226,39.118797,-84.428238,2,Car-Dependent,Somewhat Bikeable,17,,,
DELTA AVE, Cincinnati,DELTA AVE Cincinnati,OH,0,39.122264,-84.435803,41,Car-Dependent,Somewhat Bikeable,23,29,Some Transit,
ATHENS AVE, Cincinnati,ATHENS AVE Cincinnati,OH,45226,39.120269,-84.43532,41,Car-Dependent,Somewhat Bikeable,28,,,
RUSHTON RD, Cincinnati,RUSHTON RD Cincinnati,OH,45226,39.120101,-84.434068,39,Car-Dependent,Somewhat Bikeable,3,,,
ALMSGATE LN, Cincinnati,ALMSGATE LN Cincinnati,OH,0,39.113392,-84.263671,2,Car-Dependent,,,,,
SPRINGHILL LN, Cincinnati,SPRINGHILL LN Cincinnati,OH,45226,39.230396,-84.472342,51,Somewhat Walkable,,,,,
LINDELL LN, Cincinnati,LINDELL LN Cincinnati,OH,45226,39.122465,-84.429169,35,Car-Dependent,Somewhat Bikeable,34,,,
GLENSHIRE AVE, Cincinnati,GLENSHIRE AVE Cincinnati,OH,45226,39.122327,-84.425049,28,Car-Dependent,Somewhat Bikeable,25,,,
BIGBEN LN, Cincinnati,BIGBEN LN Cincinnati,OH,45226,39.127108,-84.434531,37,Car-Dependent,Somewhat Bikeable,2,,,
WALSH LN, Cincinnati,WALSH LN Cincinnati,OH,45208,39.130391,-84.44351,47,Car-Dependent,Somewhat Bikeable,3,,,
WAKEFIELD DR, Cincinnati,WAKEFIELD DR Cincinnati,OH,45226,39.124708,-84.424754,33,Car-Dependent,Somewhat Bikeable,33,,,
VANDYKE AVE, Cincinnati,VANDYKE AVE Cincinnati,OH,0,39.113546,-84.263271,2,Car-Dependent,,,,,
TWEED AVE, Cincinnati,TWEED AVE Cincinnati,OH,45226,39.125874,-84.425723,35,Car-Dependent,Somewhat Bikeable,36,,,
NANCY LN, Cincinnati,NANCY LN Cincinnati,OH,45226,39.125413,-84.432033,38,Car-Dependent,Somewhat Bikeable,28,,,
WILARAY TE, Cincinnati,WILARAY TE Cincinnati,OH,45230,39.08678,-84.38378,56,Somewhat Walkable,Somewhat Bikeable,48,,,
MEADOWBRIGHT LN, Cincinnati,MEADOWBRIGHT LN Cincinnati,OH,45230,39.091694,-84.394047,41,Car-Dependent,Somewhat Bikeable,36,,,
WAYSIDE PL, Cincinnati,WAYSIDE PL Cincinnati,OH,45230,39.090678,-84.393963,48,Car-Dependent,Somewhat Bikeable,38,,,
AYERSHIRE AVE, Cincinnati,AYERSHIRE AVE Cincinnati,OH,45230,39.075006,-84.370865,42,Car-Dependent,Somewhat Bikeable,39,,,
BURNEY LN, Cincinnati,BURNEY LN Cincinnati,OH,45230,39.076301,-84.375341,28,Car-Dependent,Somewhat Bikeable,41,,,
MOONKIST CT, Cincinnati,MOONKIST CT Cincinnati,OH,45230,39.09352,-84.393561,53,Somewhat Walkable,Somewhat Bikeable,37,,,
BURSAL AVE, Cincinnati,BURSAL AVE Cincinnati,OH,45230,39.076954,-84.374004,3,Car-Dependent,Somewhat Bikeable,4,,,
MAYLAND DR, Cincinnati,MAYLAND DR Cincinnati,OH,45230,39.078207,-84.385116,23,Car-Dependent,Somewhat Bikeable,35,27,Some Transit,
THORNBIRD DR, Cincinnati,THORNBIRD DR Cincinnati,OH,45230,39.0785,-84.388019,22,Car-Dependent,Somewhat Bikeable,35,,,
ANTOINETTE AVE, Cincinnati,ANTOINETTE AVE Cincinnati,OH,45230,39.077913,-84.376356,49,Car-Dependent,Somewhat Bikeable,43,,,
SUTTON AVE, Cincinnati,SUTTON AVE Cincinnati,OH,45230,39.079623,-84.391449,28,Car-Dependent,Somewhat Bikeable,33,,,
DYER ST, Cincinnati,DYER ST Cincinnati,OH,45230,39.078848,-84.383725,43,Car-Dependent,Somewhat Bikeable,42,,,
BRANDON AVE, Cincinnati,BRANDON AVE Cincinnati,OH,45230,39.082188,-84.389636,31,Car-Dependent,Somewhat Bikeable,35,,,
MAGLY CT, Cincinnati,MAGLY CT Cincinnati,OH,45230,39.080959,-84.378749,35,Car-Dependent,Somewhat Bikeable,43,,,
MEARS AVE, Cincinnati,MEARS AVE Cincinnati,OH,45230,39.081965,-84.387106,42,Car-Dependent,Somewhat Bikeable,44,,,
CLIO AVE, Cincinnati,CLIO AVE Cincinnati,OH,45230,39.083549,-84.388153,44,Car-Dependent,Somewhat Bikeable,41,,,
RAGLAN ST, Cincinnati,RAGLAN ST Cincinnati,OH,45230,39.084355,-84.393335,29,Car-Dependent,Somewhat Bikeable,28,,,
DELL TE, Cincinnati,DELL TE Cincinnati,OH,45230,39.083548,-84.385418,46,Car-Dependent,Somewhat Bikeable,45,,,
ALCOR TE, Cincinnati,ALCOR TE Cincinnati,OH,45230,39.083114,-84.380351,33,Car-Dependent,Somewhat Bikeable,39,,,
LONGBOURNE ST, Cincinnati,LONGBOURNE ST Cincinnati,OH,45230,39.08453,-84.394758,24,Car-Dependent,Somewhat Bikeable,26,,,
WINCHESTER AVE, Cincinnati,WINCHESTER AVE Cincinnati,OH,45230,39.084481,-84.39168,37,Car-Dependent,Somewhat Bikeable,33,,,
TIFFANY LN, Cincinnati,TIFFANY LN Cincinnati,OH,45230,39.084391,-84.379989,42,Car-Dependent,Somewhat Bikeable,43,,,
BEACON ST, Cincinnati,BEACON ST Cincinnati,OH,45230,39.084736,-84.381851,34,Car-Dependent,,,,,
CORALBERRY CT, Cincinnati,CORALBERRY CT Cincinnati,OH,45230,39.086713,-84.389017,36,Car-Dependent,Somewhat Bikeable,39,,,
BARG LN, Cincinnati,BARG LN Cincinnati,OH,45230,39.089043,-84.394117,39,Car-Dependent,Somewhat Bikeable,32,,,
LEHIGH AVE, Cincinnati,LEHIGH AVE Cincinnati,OH,45230,39.088705,-84.388356,67,Somewhat Walkable,Somewhat Bikeable,47,,,
CLAUDIA CT, Cincinnati,CLAUDIA CT Cincinnati,OH,45230,39.09212,-84.384709,6,Somewhat Walkable,Somewhat Bikeable,42,,,
BEECHMONT AVE, Cincinnati,BEECHMONT AVE Cincinnati,OH,45230,39.093065,-84.387083,38,Car-Dependent,,,,,
TRAILWOOD DR, Cincinnati,TRAILWOOD DR Cincinnati,OH,45230,39.091442,-84.376454,2,Car-Dependent,Somewhat Bikeable,32,,,
RONALDSON AVE, Cincinnati,RONALDSON AVE Cincinnati,OH,45230,39.092515,-84.383682,71,Very Walkable,Somewhat Bikeable,48,,,
SUTTON AVE, Cincinnati,SUTTON AVE Cincinnati,OH,0,39.092911,-84.389519,28,Car-Dependent,Somewhat Bikeable,33,,,
FLOWERWOOD CT, Cincinnati,FLOWERWOOD CT Cincinnati,OH,45230,39.094196,-84.373905,27,Car-Dependent,Somewhat Bikeable,26,,,
SUFFOLK ST, Cincinnati,SUFFOLK ST Cincinnati,OH,45230,39.094749,-84.382349,68,Somewhat Walkable,Somewhat Bikeable,47,,,
OXFORD AVE, Cincinnati,OXFORD AVE Cincinnati,OH,45230,39.096056,-84.388086,68,Somewhat Walkable,Somewhat Bikeable,43,,,
SUSSEX AVE, Cincinnati,SUSSEX AVE Cincinnati,OH,45230,39.097035,-84.379887,39,Car-Dependent,Somewhat Bikeable,28,,,
KENLEE DR, Cincinnati,KENLEE DR Cincinnati,OH,45230,39.098934,-84.378716,22,Car-Dependent,Somewhat Bikeable,19,,,
FINDLATER CT, Cincinnati,FINDLATER CT Cincinnati,OH,45230,39.098422,-84.375687,11,Car-Dependent,Somewhat Bikeable,14,,,
RAINBOW CT, Cincinnati,RAINBOW CT Cincinnati,OH,45230,39.098511,-84.374739,11,Car-Dependent,Somewhat Bikeable,14,,,
CARDINALHILL CT, Cincinnati,CARDINALHILL CT Cincinnati,OH,45230,39.099879,-84.382314,8,Car-Dependent,Somewhat Bikeable,12,,,
DOEVIEW CT, Cincinnati,DOEVIEW CT Cincinnati,OH,45230,39.101055,-84.38135,11,Car-Dependent,Somewhat Bikeable,11,,,
DEERVIEW CT, Cincinnati,DEERVIEW CT Cincinnati,OH,45230,39.10046,-84.381181,11,Car-Dependent,Somewhat Bikeable,11,27,Some Transit,
SANCTUARY CR, Cincinnati,SANCTUARY CR Cincinnati,OH,45230,39.098452,-84.380629,1,Car-Dependent,Somewhat Bikeable,15,,,
WALNUTVIEW CT, Cincinnati,WALNUTVIEW CT Cincinnati,OH,45230,39.09991,-84.379295,13,Car-Dependent,Somewhat Bikeable,9,,,
COVEYRUN CT, Cincinnati,COVEYRUN CT Cincinnati,OH,45230,39.102066,-84.38051,9,Car-Dependent,Somewhat Bikeable,9,,,
ELMDALE DR, Cincinnati,ELMDALE DR Cincinnati,OH,45230,39.102656,-84.392373,29,Car-Dependent,Somewhat Bikeable,25,,,
BONNIE DR, Cincinnati,BONNIE DR Cincinnati,OH,45230,39.103432,-84.38714,33,Car-Dependent,Somewhat Bikeable,31,,,
BEECHMAR DR, Cincinnati,BEECHMAR DR Cincinnati,OH,45230,39.102679,-84.385791,3,Car-Dependent,Somewhat Bikeable,27,,,
STREAMSIDE CT, Cincinnati,STREAMSIDE CT Cincinnati,OH,45230,39.10168,-84.377824,11,Car-Dependent,Somewhat Bikeable,8,,,
MENDOVA LN, Cincinnati,MENDOVA LN Cincinnati,OH,45230,39.104643,-84.386685,25,Car-Dependent,Somewhat Bikeable,26,,,
WAYWARDWINDS DR, Cincinnati,WAYWARDWINDS DR Cincinnati,OH,45230,39.106521,-84.388235,13,Car-Dependent,Somewhat Bikeable,22,,,
REDFIELD PL, Cincinnati,REDFIELD PL Cincinnati,OH,45230,39.105262,-84.390651,23,Car-Dependent,Somewhat Bikeable,31,,,
KEYSTONE DR, Cincinnati,KEYSTONE DR Cincinnati,OH,45230,39.106545,-84.391412,3,Car-Dependent,Somewhat Bikeable,23,,,
ADENA TL, Cincinnati,ADENA TL Cincinnati,OH,45230,39.088127,-84.408789,2,Car-Dependent,Somewhat Bikeable,2,,,
RESERVE CIR, Cincinnati,RESERVE CIR Cincinnati,OH,0,39.104658,-84.396929,33,Car-Dependent,Somewhat Bikeable,22,,,
WASIGO DR, Cincinnati,WASIGO DR Cincinnati,OH,45230,39.102299,-84.39376,23,Car-Dependent,Somewhat Bikeable,2,,,
HANOVER CR, Cincinnati,HANOVER CR Cincinnati,OH,45230,39.25921,-84.367803,3,Car-Dependent,,,,,
SUNVALLEY LN, Cincinnati,SUNVALLEY LN Cincinnati,OH,45230,39.10268,-84.385283,3,Car-Dependent,Somewhat Bikeable,27,,,
EAGLESRIDGE LN, Cincinnati,EAGLESRIDGE LN Cincinnati,OH,45230,39.089881,-84.409247,3,Car-Dependent,Somewhat Bikeable,11,,,
SUTTON RD, Cincinnati,SUTTON RD Cincinnati,OH,45230,39.062688,-84.408934,17,Car-Dependent,,,,,
WAYSIDE AVE, Cincinnati,WAYSIDE AVE Cincinnati,OH,45230,39.089683,-84.395748,37,Car-Dependent,Somewhat Bikeable,32,,,
BAGDAD DR, Cincinnati,BAGDAD DR Cincinnati,OH,45230,39.093143,-84.397841,27,Car-Dependent,Somewhat Bikeable,26,,,
TRIDALE CT, Cincinnati,TRIDALE CT Cincinnati,OH,45230,39.095235,-84.397528,26,Car-Dependent,Somewhat Bikeable,2,,,
LOCKARD AVE, Cincinnati,LOCKARD AVE Cincinnati,OH,45230,39.085716,-84.392765,4,Car-Dependent,Somewhat Bikeable,29,,,
VIRBET DR, Cincinnati,VIRBET DR Cincinnati,OH,45230,39.083184,-84.392694,25,Car-Dependent,Somewhat Bikeable,29,,,
HEIS TE, Cincinnati,HEIS TE Cincinnati,OH,45230,39.081495,-84.393118,15,Car-Dependent,Somewhat Bikeable,29,,,
COLTER AVE, Cincinnati,COLTER AVE Cincinnati,OH,45230,39.08863,-84.39073,65,Somewhat Walkable,Somewhat Bikeable,45,,,
WAYSIDE CT, Cincinnati,WAYSIDE CT Cincinnati,OH,45230,39.093328,-84.393175,53,Somewhat Walkable,Somewhat Bikeable,37,,,
BENNEVILLE ST, Cincinnati,BENNEVILLE ST Cincinnati,OH,45230,39.088,-84.389543,65,Somewhat Walkable,Somewhat Bikeable,45,,,
CORBLY RD, Cincinnati,CORBLY RD Cincinnati,OH,45230,39.093461,-84.389221,73,Very Walkable,Somewhat Bikeable,48,,,
PLYMOUTH AVE, Cincinnati,PLYMOUTH AVE Cincinnati,OH,45230,39.092687,-84.388809,73,Very Walkable,Somewhat Bikeable,48,,,
GLADE AVE, Cincinnati,GLADE AVE Cincinnati,OH,45230,39.08075,-84.390461,33,Car-Dependent,Somewhat Bikeable,38,,,
MARIWOOD LN, Cincinnati,MARIWOOD LN Cincinnati,OH,45230,39.079878,-84.390947,28,Car-Dependent,Somewhat Bikeable,33,,,
WOODLARK DR, Cincinnati,WOODLARK DR Cincinnati,OH,45230,39.077155,-84.388296,15,Car-Dependent,Somewhat Bikeable,35,,,
CAMBRIDGE AVE, Cincinnati,CAMBRIDGE AVE Cincinnati,OH,45230,39.084703,-84.386675,71,Very Walkable,,,,,
STURDY AVE, Cincinnati,STURDY AVE Cincinnati,OH,45230,39.096583,-84.385341,7,Very Walkable,Somewhat Bikeable,46,,,
BEECHCREST PL, Cincinnati,BEECHCREST PL Cincinnati,OH,45230,39.090395,-84.384745,7,Somewhat Walkable,Somewhat Bikeable,47,,,
CRESTVIEW PL, Cincinnati,CRESTVIEW PL Cincinnati,OH,45230,39.097514,-84.384873,66,Somewhat Walkable,Somewhat Bikeable,4,,,
COFFEY ST, Cincinnati,COFFEY ST Cincinnati,OH,45230,39.096928,-84.381942,52,Somewhat Walkable,Somewhat Bikeable,33,,,
CORBLY RD, Cincinnati,CORBLY RD Cincinnati,OH,0,39.161133,-84.386782,73,Very Walkable,Somewhat Bikeable,48,,,
COPPERLEAF LN, Cincinnati,COPPERLEAF LN Cincinnati,OH,45230,39.10362,-84.381013,8,Car-Dependent,Somewhat Bikeable,11,,,
HONEYSUCKLE DR, Cincinnati,HONEYSUCKLE DR Cincinnati,OH,45230,39.08883,-84.380376,58,Somewhat Walkable,Somewhat Bikeable,47,,,
WILDHAVEN WY, Cincinnati,WILDHAVEN WY Cincinnati,OH,45230,39.098625,-84.380359,1,Car-Dependent,Somewhat Bikeable,15,,,
CRAIGLAND CT, Cincinnati,CRAIGLAND CT Cincinnati,OH,45230,39.079081,-84.379349,35,Car-Dependent,Somewhat Bikeable,39,,,
RAINBOW LN, Cincinnati,RAINBOW LN Cincinnati,OH,45230,39.097952,-84.377598,31,Car-Dependent,Somewhat Bikeable,25,,,
SILVERFOX DR, Cincinnati,SILVERFOX DR Cincinnati,OH,45230,39.099779,-84.378107,17,Car-Dependent,Somewhat Bikeable,7,,,
GRAF DR, Cincinnati,GRAF DR Cincinnati,OH,45230,39.097796,-84.377371,31,Car-Dependent,Somewhat Bikeable,25,,,
WALDORF PL, Cincinnati,WALDORF PL Cincinnati,OH,45230,39.082594,-84.376632,38,Car-Dependent,Somewhat Bikeable,4,,,
COPPERLEAF LN, Cincinnati,COPPERLEAF LN Cincinnati,OH,0,39.10148,-84.380403,8,Car-Dependent,Somewhat Bikeable,11,,,
SPINDLEWICK LN, Cincinnati,SPINDLEWICK LN Cincinnati,OH,45230,39.09195,-84.377173,2,Car-Dependent,Somewhat Bikeable,32,,,
RIPPLEWOOD LN, Cincinnati,RIPPLEWOOD LN Cincinnati,OH,45230,39.093731,-84.373992,19,Car-Dependent,Somewhat Bikeable,25,,,
KNOTTYPINE DR, Cincinnati,KNOTTYPINE DR Cincinnati,OH,45230,39.092807,-84.374299,23,Car-Dependent,Somewhat Bikeable,28,,,
HIALEA CT, Cincinnati,HIALEA CT Cincinnati,OH,45230,39.15036,-84.384593,65,Somewhat Walkable,Bikeable,5,,,
ECHO LN, Cincinnati,ECHO LN Cincinnati,OH,45230,39.091909,-84.374199,12,Car-Dependent,Somewhat Bikeable,23,,,
AMBAR AVE, Cincinnati,AMBAR AVE Cincinnati,OH,45230,39.081464,-84.376962,42,Car-Dependent,Somewhat Bikeable,41,,,
WHITEHALL AVE, Cincinnati,WHITEHALL AVE Cincinnati,OH,45230,39.075237,-84.375012,34,Car-Dependent,Somewhat Bikeable,35,,,
SALEM RD, Cincinnati,SALEM RD Cincinnati,OH,45230,39.07417,-84.374666,9,Car-Dependent,,,,,
LECONTE AVE, Cincinnati,LECONTE AVE Cincinnati,OH,45230,39.077732,-84.374031,35,Car-Dependent,Somewhat Bikeable,41,,,
BALTIC CT, Cincinnati,BALTIC CT Cincinnati,OH,45244,39.086386,-84.297989,16,Car-Dependent,,,,,
BEND ST, Cincinnati,BEND ST Cincinnati,OH,45244,39.063299,-84.277962,47,Car-Dependent,,,,,
ENGLISH DR, Cincinnati,ENGLISH DR Cincinnati,OH,0,39.121098,-84.522357,74,Very Walkable,Somewhat Bikeable,42,,,
MAIN ST, Cincinnati,MAIN ST Cincinnati,OH,45244,39.102274,-84.509934,82,Very Walkable,Bikeable,64,82,Excellent Transit,
THORNDALE LN, Cincinnati,THORNDALE LN Cincinnati,OH,0,39.121098,-84.522357,74,Very Walkable,Somewhat Bikeable,42,,,
SAWGRASS CT, Cincinnati,SAWGRASS CT Cincinnati,OH,45244,39.117655,-84.351418,,Car-Dependent,,,,,
HARRIET LN, Cincinnati,HARRIET LN Cincinnati,OH,45244,39.116686,-84.362255,3,Car-Dependent,,,,,
IVYHILLS BV, Cincinnati,IVYHILLS BV Cincinnati,OH,45244,39.119097,-84.347094,1,Car-Dependent,,,,,
IVYHILLS , Cincinnati,IVYHILLS  Cincinnati,OH,45244,39.119096,-84.347093,1,Car-Dependent,,,,,
PINE ST, Cincinnati,PINE ST Cincinnati,OH,45244,39.119467,-84.361779,11,Car-Dependent,,,,,
SCIOTO DR, Cincinnati,SCIOTO DR Cincinnati,OH,45244,39.117792,-84.355311,14,Car-Dependent,,,,,
RIOGRANDE LN, Cincinnati,RIOGRANDE LN Cincinnati,OH,45244,39.120135,-84.355712,16,Car-Dependent,,,,,
MILJOIE DR, Cincinnati,MILJOIE DR Cincinnati,OH,45244,39.123696,-84.352566,2,Car-Dependent,,,,,
CHURCH ST, Cincinnati,CHURCH ST Cincinnati,OH,45244,39.121767,-84.363746,16,Car-Dependent,,,,,
MILJOIE DR, Cincinnati,MILJOIE DR Cincinnati,OH,0,39.124331,-84.3526,2,Car-Dependent,,,,,
DEBOLT ST, Cincinnati,DEBOLT ST Cincinnati,OH,45244,39.124909,-84.365586,19,Car-Dependent,,,,,
LEONARD ST, Cincinnati,LEONARD ST Cincinnati,OH,45244,39.125436,-84.368994,65,Somewhat Walkable,Somewhat Bikeable,44,,,
ROUNDBOTTOM RD, Cincinnati,ROUNDBOTTOM RD Cincinnati,OH,45244,39.126024,-84.355886,27,Car-Dependent,,,,,
VILLAGE DR, Cincinnati,VILLAGE DR Cincinnati,OH,45244,39.118491,-84.332253,3,Car-Dependent,,,,,
PLUM ST, Cincinnati,PLUM ST Cincinnati,OH,45244,39.125277,-84.369982,87,Very Walkable,Bikeable,52,8,Excellent Transit,
CRULL ST, Cincinnati,CRULL ST Cincinnati,OH,45244,39.126361,-84.370308,14,Car-Dependent,,,,,
PECOS DR, Cincinnati,PECOS DR Cincinnati,OH,45244,39.121676,-84.35932,18,Car-Dependent,,,,,
EDITH ST, Cincinnati,EDITH ST Cincinnati,OH,45244,39.120123,-84.364651,13,Car-Dependent,,,,,
RAGLAND RD, Cincinnati,RAGLAND RD Cincinnati,OH,45244,39.118481,-84.362035,8,Car-Dependent,,,,,
OAK ST, Cincinnati,OAK ST Cincinnati,OH,45244,39.130565,-84.353949,22,Car-Dependent,,,,,
MONONGAHELA DR, Cincinnati,MONONGAHELA DR Cincinnati,OH,45244,39.121635,-84.356414,2,Car-Dependent,,,,,
IVY WY, Cincinnati,IVY WY Cincinnati,OH,45244,39.122965,-84.351683,17,Car-Dependent,,,,,
IVYHILLS LN, Cincinnati,IVYHILLS LN Cincinnati,OH,45244,39.11898,-84.347187,1,Car-Dependent,,,,,
PINEHURST DR, Cincinnati,PINEHURST DR Cincinnati,OH,45244,39.11553,-84.342573,7,Car-Dependent,,,,,
OYSTERBAY LN, Cincinnati,OYSTERBAY LN Cincinnati,OH,45244,39.121566,-84.337221,3,Car-Dependent,,,,,
BURTON AVE, Cincinnati,BURTON AVE Cincinnati,OH,45229,39.233636,-84.481993,42,Car-Dependent,Somewhat Bikeable,43,46,Some Transit,
CLINTONSPRINGS AVE, Cincinnati,CLINTONSPRINGS AVE Cincinnati,OH,45217,39.158364,-84.501036,36,Car-Dependent,Somewhat Bikeable,25,,,
MARY LN, Cincinnati,MARY LN Cincinnati,OH,45217,39.22357,-84.442436,8,Very Walkable,,,,,
MITCHELL AVE, Cincinnati,MITCHELL AVE Cincinnati,OH,45217,39.162579,-84.508337,49,Car-Dependent,Somewhat Bikeable,34,,,
BURTONWOODS LN, Cincinnati,BURTONWOODS LN Cincinnati,OH,45229,39.156121,-84.486361,36,Car-Dependent,Somewhat Bikeable,32,,,
READING RD, Cincinnati,READING RD Cincinnati,OH,45229,39.151853,-84.485261,76,Very Walkable,Bikeable,52,56,Good Transit,
ROSEHILL AVE, Cincinnati,ROSEHILL AVE Cincinnati,OH,0,39.155277,-84.483657,41,Car-Dependent,Somewhat Bikeable,37,,,
LEDGEWOOD DR, Cincinnati,LEDGEWOOD DR Cincinnati,OH,45229,39.152802,-84.473689,39,Car-Dependent,Somewhat Bikeable,3,,,
ROSEHILL AVE, Cincinnati,ROSEHILL AVE Cincinnati,OH,45229,39.155703,-84.48313,41,Car-Dependent,Somewhat Bikeable,37,,,
LEYMAN DR, Cincinnati,LEYMAN DR Cincinnati,OH,45229,39.157458,-84.490372,28,Car-Dependent,Somewhat Bikeable,3,,,
ABINGTON AVE, Cincinnati,ABINGTON AVE Cincinnati,OH,45229,39.158593,-84.490473,27,Car-Dependent,Somewhat Bikeable,31,,,
WARWICK AVE, Cincinnati,WARWICK AVE Cincinnati,OH,45229,39.158937,-84.492183,42,Car-Dependent,,,,,
GLENCROSS AVE, Cincinnati,GLENCROSS AVE Cincinnati,OH,45217,39.160021,-84.496729,5,Somewhat Walkable,Somewhat Bikeable,43,,,
ARDMORE AVE, Cincinnati,ARDMORE AVE Cincinnati,OH,45229,39.159159,-84.491054,26,Car-Dependent,,,,,
PARKER PL, Cincinnati,PARKER PL Cincinnati,OH,45217,39.159794,-84.495516,46,Car-Dependent,Somewhat Bikeable,41,,,
BEECHWOOD AVE, Cincinnati,BEECHWOOD AVE Cincinnati,OH,45229,39.156276,-84.4838,39,Car-Dependent,Somewhat Bikeable,34,,,
WESSPARK DR, Cincinnati,WESSPARK DR Cincinnati,OH,45217,39.159712,-84.499638,46,Car-Dependent,Somewhat Bikeable,31,,,
DICKSON AVE, Cincinnati,DICKSON AVE Cincinnati,OH,45229,39.159496,-84.493208,34,Car-Dependent,Somewhat Bikeable,35,,,
WINDINGWAY , Cincinnati,WINDINGWAY  Cincinnati,OH,45229,39.154595,-84.47608,12,Car-Dependent,,,,,
REDBUD PL, Cincinnati,REDBUD PL Cincinnati,OH,45229,39.161567,-84.487386,29,Car-Dependent,Somewhat Bikeable,27,,,
MITCHELL AVE, Cincinnati,MITCHELL AVE Cincinnati,OH,45229,39.160237,-84.490687,49,Car-Dependent,Somewhat Bikeable,34,,,
MITCHELL AVE, Cincinnati,MITCHELL AVE Cincinnati,OH,0,39.15999,-84.489443,49,Car-Dependent,Somewhat Bikeable,34,,,
AVONFIELDS LN, Cincinnati,AVONFIELDS LN Cincinnati,OH,45229,39.163052,-84.488871,35,Car-Dependent,Somewhat Bikeable,33,,,
REDBUD AVE, Cincinnati,REDBUD AVE Cincinnati,OH,45229,39.162036,-84.48523,27,Car-Dependent,Somewhat Bikeable,21,,,
CLINTONSPRINGS AVE, Cincinnati,CLINTONSPRINGS AVE Cincinnati,OH,0,39.154784,-84.485132,36,Car-Dependent,Somewhat Bikeable,25,,,
AVONFIELDS PL, Cincinnati,AVONFIELDS PL Cincinnati,OH,45229,39.161848,-84.486376,27,Car-Dependent,Somewhat Bikeable,22,,,
DANA AVE, Cincinnati,DANA AVE Cincinnati,OH,45229,39.151844,-84.4833,65,Somewhat Walkable,Bikeable,5,47,Some Transit,
LENOX PL, Cincinnati,LENOX PL Cincinnati,OH,45229,39.153684,-84.481054,42,Car-Dependent,Somewhat Bikeable,39,,,
BARRY LN, Cincinnati,BARRY LN Cincinnati,OH,45229,39.156298,-84.479533,38,Car-Dependent,Somewhat Bikeable,34,,,
AVONDALE AVE, Cincinnati,AVONDALE AVE Cincinnati,OH,45229,39.155131,-84.478195,36,Car-Dependent,Somewhat Bikeable,31,,,
MARION AVE, Cincinnati,MARION AVE Cincinnati,OH,45229,39.151336,-84.480411,41,Car-Dependent,Somewhat Bikeable,33,,,
EAGLESCLIFF DR, Cincinnati,EAGLESCLIFF DR Cincinnati,OH,0,39.121098,-84.522357,74,Very Walkable,Somewhat Bikeable,42,,,
FOXHILLS LN, Cincinnati,FOXHILLS LN Cincinnati,OH,0,39.121098,-84.522357,74,Very Walkable,Somewhat Bikeable,42,,,
RIVER RD, Cincinnati,RIVER RD Cincinnati,OH,45052,39.244552,-84.537397,45,Car-Dependent,Somewhat Bikeable,37,27,Some Transit,
SHADY LN, Cincinnati,SHADY LN Cincinnati,OH,0,39.108078,-84.518559,7,Very Walkable,Somewhat Bikeable,46,,,
STANDREWS DR, Cincinnati,STANDREWS DR Cincinnati,OH,0,39.121098,-84.522357,74,Very Walkable,Somewhat Bikeable,42,,,
STANNES , Cincinnati,STANNES  Cincinnati,OH,0,39.121098,-84.522357,74,Very Walkable,Somewhat Bikeable,42,,,
